 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.387,0.778,0.596,0.164,0.114,0.327,0.375,0.080,0.164,0.103,0.106,0.085,0.110,0.377,0.114,0.218,0.062,0.044,0.059,0.528,0.433,0.221,0.286,0.161,0.087,0.608,0.046,0.750,0.039,0.114
f_min.final_model.000.11.det_cont.csv,0.323,0.689,0.756,0.367,0.254,0.468,0.292,0.149,0.088,0.092,0.190,0.043,0.069,0.282,0.088,0.370,0.204,0.015,0.117,0.375,0.519,0.317,0.305,0.097,0.060,0.393,0.074,0.667,0.103,0.072
f_min.final_model.000.12.det_cont.csv,0.026,0.000,0.000,0.032,0.059,0.000,0.038,0.103,0.091,0.113,0.047,0.109,0.103,0.023,0.091,0.000,0.033,0.548,0.151,0.014,0.000,0.027,0.027,0.100,0.278,0.000,0.164,0.000,0.106,0.286
f_min.final_model.000.13.det_cont.csv,0.339,0.141,0.226,0.362,0.732,0.222,0.227,0.542,0.315,0.511,0.375,0.228,0.233,0.143,0.479,0.333,0.442,0.000,0.509,0.000,0.317,0.407,0.451,0.000,0.015,0.000,0.474,0.132,0.500,0.000
f_min.final_model.000.14.det_cont.csv,0.391,0.258,0.344,0.233,0.397,0.357,0.468,0.254,0.500,0.393,0.188,0.379,0.474,0.441,0.500,0.373,0.180,0.014,0.240,0.077,0.435,0.830,0.647,0.027,0.114,0.104,0.270,0.261,0.281,0.000
f_min.final_model.000.15.det_cont.csv,0.188,0.118,0.162,0.367,0.370,0.232,0.120,0.750,0.138,0.340,0.769,0.074,0.100,0.046,0.276,0.286,0.512,0.015,0.686,0.000,0.206,0.179,0.185,0.000,0.014,0.013,0.554,0.111,0.442,0.057
f_min.final_model.000.16.det_cont.csv,0.147,0.125,0.172,0.465,0.400,0.250,0.081,0.622,0.094,0.288,0.806,0.030,0.074,0.024,0.228,0.311,0.564,0.000,0.577,0.014,0.219,0.172,0.159,0.000,0.000,0.014,0.482,0.118,0.420,0.014
f_min.final_model.000.17.det_cont.csv,0.194,0.370,0.510,0.383,0.200,0.718,0.206,0.172,0.125,0.113,0.218,0.029,0.119,0.171,0.125,0.488,0.235,0.000,0.135,0.210,0.356,0.328,0.339,0.000,0.000,0.226,0.104,0.393,0.141,0.059
f_min.final_model.000.18.det_cont.csv,0.473,0.154,0.164,0.200,0.404,0.097,0.383,0.357,0.431,0.556,0.236,0.412,0.267,0.304,0.521,0.170,0.306,0.000,0.349,0.056,0.286,0.300,0.357,0.081,0.094,0.069,0.365,0.129,0.396,0.000
f_min.final_model.000.19.det_cont.csv,0.379,0.510,0.711,0.275,0.263,0.489,0.344,0.190,0.200,0.211,0.218,0.076,0.172,0.328,0.220,0.452,0.189,0.000,0.151,0.250,0.600,0.400,0.415,0.048,0.015,0.267,0.133,0.560,0.106,0.043
f_min.final_model.000.20.det_cont.csv,0.125,0.172,0.068,0.000,0.000,0.000,0.169,0.000,0.058,0.000,0.000,0.286,0.226,0.184,0.000,0.000,0.000,0.375,0.000,0.188,0.174,0.026,0.000,0.675,0.628,0.242,0.000,0.145,0.014,0.217
f_min.final_model.000.21.det_cont.csv,0.159,0.218,0.321,0.657,0.477,0.463,0.071,0.388,0.083,0.216,0.500,0.032,0.079,0.038,0.204,0.543,0.600,0.000,0.328,0.030,0.352,0.296,0.259,0.000,0.000,0.030,0.258,0.203,0.347,0.000
f_min.final_model.000.22.det_cont.csv,0.123,0.134,0.053,0.000,0.000,0.000,0.200,0.000,0.156,0.029,0.000,0.352,0.328,0.230,0.072,0.000,0.000,0.340,0.024,0.116,0.139,0.097,0.013,0.511,0.868,0.130,0.024,0.127,0.071,0.156
f_min.final_model.000.23.det_cont.csv,0.200,0.091,0.115,0.250,0.344,0.132,0.095,0.574,0.139,0.339,0.453,0.080,0.090,0.031,0.281,0.203,0.352,0.103,0.593,0.000,0.139,0.130,0.197,0.000,0.013,0.000,0.610,0.086,0.339,0.108
f_min.final_model.000.24.det_cont.csv,0.300,0.143,0.230,0.400,0.556,0.275,0.159,0.622,0.273,0.426,0.548,0.113,0.177,0.101,0.400,0.372,0.525,0.000,0.547,0.014,0.258,0.271,0.327,0.000,0.015,0.028,0.456,0.134,0.511,0.000
f_min.final_model.000.25.det_cont.csv,0.632,0.426,0.475,0.099,0.197,0.250,0.667,0.158,0.393,0.323,0.081,0.292,0.313,0.672,0.371,0.175,0.070,0.013,0.141,0.313,0.409,0.406,0.492,0.082,0.093,0.348,0.210,0.444,0.162,0.037
f_min.final_model.000.26.det_cont.csv,0.222,0.164,0.104,0.000,0.030,0.032,0.295,0.014,0.211,0.100,0.000,0.447,0.309,0.303,0.113,0.018,0.000,0.192,0.013,0.161,0.242,0.121,0.091,0.500,0.467,0.197,0.051,0.136,0.014,0.150
f_min.final_model.000.27.det_cont.csv,0.306,0.705,0.660,0.245,0.177,0.447,0.317,0.118,0.123,0.077,0.153,0.059,0.086,0.324,0.090,0.348,0.123,0.015,0.090,0.462,0.473,0.279,0.333,0.098,0.061,0.426,0.062,0.756,0.057,0.090
f_min.final_model.000.28.det_cont.csv,0.177,0.288,0.429,0.611,0.413,0.579,0.136,0.333,0.102,0.170,0.429,0.016,0.115,0.093,0.182,0.742,0.436,0.000,0.262,0.079,0.460,0.373,0.333,0.000,0.000,0.078,0.200,0.315,0.245,0.000
f_min.final_model.000.29.det_cont.csv,0.483,0.290,0.339,0.224,0.444,0.327,0.443,0.306,0.529,0.500,0.197,0.328,0.373,0.357,0.592,0.340,0.211,0.000,0.286,0.110,0.365,0.627,0.761,0.000,0.056,0.139,0.319,0.292,0.317,0.000
