 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.10.pdb,0.509,0.489,0.245,0.000,0.537,0.000,0.625,0.055,0.474,0.188,0.000,0.091,0.110,0.013,0.101,0.000,0.000,0.000,0.000,0.179,0.000,0.000,0.560,0.528,0.328,0.543,0.000,0.500
model.000.11.pdb,0.096,0.000,0.432,0.048,0.081,0.029,0.136,0.451,0.174,0.549,0.058,0.095,0.560,0.013,0.012,0.103,0.000,0.026,0.027,0.689,0.000,0.014,0.000,0.068,0.014,0.000,0.015,0.000
model.000.12.pdb,0.000,0.000,0.000,0.583,0.000,0.465,0.000,0.269,0.000,0.127,0.083,0.043,0.167,0.000,0.086,0.523,0.182,0.148,0.117,0.079,0.244,0.245,0.000,0.000,0.000,0.000,0.318,0.000
model.000.13.pdb,0.649,0.266,0.203,0.000,0.424,0.000,0.508,0.100,0.727,0.240,0.000,0.301,0.195,0.000,0.342,0.000,0.000,0.000,0.000,0.233,0.000,0.000,0.309,0.373,0.544,0.323,0.000,0.270
model.000.14.pdb,0.000,0.000,0.000,0.135,0.000,0.275,0.000,0.000,0.000,0.000,0.241,0.000,0.000,0.268,0.013,0.150,0.396,0.309,0.353,0.000,0.318,0.447,0.000,0.000,0.000,0.000,0.304,0.000
model.000.15.pdb,0.448,0.164,0.136,0.000,0.254,0.000,0.339,0.147,0.545,0.297,0.000,0.371,0.242,0.000,0.333,0.000,0.000,0.000,0.000,0.270,0.000,0.000,0.145,0.206,0.393,0.220,0.014,0.167
model.000.16.pdb,0.000,0.000,0.137,0.200,0.000,0.138,0.014,0.500,0.041,0.370,0.097,0.086,0.521,0.000,0.068,0.273,0.030,0.090,0.061,0.291,0.000,0.062,0.000,0.000,0.000,0.000,0.052,0.000
model.000.17.pdb,0.064,0.000,0.245,0.097,0.078,0.057,0.114,0.426,0.135,0.640,0.041,0.077,0.620,0.013,0.036,0.147,0.000,0.038,0.026,0.436,0.000,0.013,0.013,0.052,0.000,0.000,0.045,0.000
model.000.18.pdb,0.092,0.000,0.269,0.115,0.078,0.072,0.130,0.540,0.167,0.640,0.070,0.105,0.688,0.000,0.048,0.200,0.000,0.066,0.040,0.491,0.000,0.013,0.000,0.052,0.027,0.000,0.045,0.000
model.000.19.pdb,0.014,0.000,0.037,0.289,0.000,0.231,0.000,0.558,0.042,0.309,0.100,0.104,0.420,0.000,0.069,0.360,0.065,0.127,0.079,0.190,0.036,0.117,0.000,0.000,0.015,0.000,0.093,0.000
model.000.20.pdb,0.517,0.415,0.291,0.000,0.544,0.000,0.627,0.038,0.483,0.160,0.000,0.085,0.089,0.037,0.108,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.566,0.654,0.323,0.490,0.000,0.423
model.000.21.pdb,0.500,0.578,0.081,0.000,0.527,0.000,0.436,0.000,0.393,0.064,0.000,0.118,0.038,0.013,0.205,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.646,0.491,0.444,0.600,0.000,0.556
model.000.22.pdb,0.000,0.016,0.000,0.052,0.000,0.136,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.141,0.013,0.044,0.190,0.104,0.127,0.000,0.200,0.250,0.014,0.000,0.000,0.049,0.192,0.016
model.000.23.pdb,0.525,0.453,0.177,0.000,0.667,0.000,0.604,0.050,0.517,0.171,0.000,0.123,0.128,0.012,0.160,0.000,0.000,0.000,0.000,0.162,0.000,0.000,0.574,0.492,0.355,0.472,0.000,0.462
model.000.24.pdb,0.000,0.000,0.000,0.694,0.000,0.595,0.000,0.273,0.000,0.087,0.131,0.013,0.138,0.028,0.067,0.578,0.232,0.213,0.183,0.043,0.304,0.321,0.000,0.000,0.000,0.000,0.348,0.000
model.000.25.pdb,0.188,0.000,0.300,0.047,0.155,0.014,0.203,0.407,0.297,0.688,0.014,0.221,0.667,0.000,0.117,0.069,0.000,0.013,0.000,0.696,0.000,0.000,0.027,0.067,0.101,0.014,0.015,0.030
model.000.26.pdb,0.069,0.000,0.463,0.069,0.085,0.030,0.125,0.420,0.130,0.490,0.061,0.040,0.531,0.028,0.000,0.143,0.000,0.042,0.014,0.490,0.000,0.014,0.029,0.087,0.000,0.000,0.016,0.000
model.000.27.pdb,0.027,0.103,0.000,0.000,0.069,0.015,0.029,0.000,0.000,0.000,0.296,0.000,0.000,0.542,0.000,0.043,0.228,0.316,0.263,0.000,0.017,0.127,0.075,0.071,0.000,0.083,0.000,0.105
model.000.28.pdb,0.375,0.730,0.053,0.000,0.481,0.000,0.358,0.000,0.279,0.027,0.000,0.054,0.000,0.028,0.110,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.674,0.531,0.268,0.585,0.000,0.615
model.000.29.pdb,0.179,0.222,0.170,0.000,0.317,0.000,0.254,0.000,0.127,0.040,0.059,0.000,0.013,0.206,0.000,0.000,0.014,0.027,0.014,0.042,0.000,0.000,0.321,0.426,0.043,0.175,0.000,0.226
