 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.10.pdb,0.000,0.000,0.120,0.318,0.000,0.231,0.000,0.314,0.000,0.143,0.245,0.000,0.246,0.029,0.000,0.545,0.179,0.246,0.236,0.150,0.075,0.218,0.000,0.000,0.000,0.000,0.113,0.000
model.000.11.pdb,0.032,0.000,0.000,0.195,0.000,0.100,0.000,0.289,0.066,0.286,0.000,0.182,0.319,0.000,0.153,0.113,0.000,0.000,0.000,0.176,0.000,0.000,0.000,0.000,0.036,0.000,0.087,0.000
model.000.12.pdb,0.000,0.000,0.000,0.267,0.000,0.400,0.000,0.031,0.000,0.000,0.204,0.000,0.000,0.131,0.027,0.288,0.477,0.250,0.314,0.000,0.436,0.650,0.000,0.000,0.000,0.000,0.415,0.000
model.000.13.pdb,0.000,0.000,0.016,0.422,0.000,0.346,0.000,0.377,0.013,0.182,0.180,0.026,0.242,0.056,0.012,0.644,0.200,0.305,0.233,0.119,0.145,0.259,0.000,0.000,0.000,0.000,0.226,0.000
model.000.14.pdb,0.596,0.238,0.213,0.000,0.400,0.000,0.536,0.181,0.614,0.343,0.000,0.227,0.271,0.000,0.234,0.000,0.000,0.000,0.000,0.338,0.000,0.000,0.323,0.348,0.371,0.317,0.000,0.242
model.000.15.pdb,0.305,0.684,0.034,0.000,0.375,0.000,0.333,0.000,0.219,0.000,0.000,0.054,0.000,0.057,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.636,0.531,0.291,0.667,0.000,0.615
model.000.16.pdb,0.067,0.000,0.212,0.102,0.053,0.060,0.103,0.542,0.141,0.646,0.043,0.080,0.560,0.000,0.024,0.154,0.000,0.054,0.042,0.462,0.000,0.014,0.000,0.026,0.014,0.000,0.031,0.000
model.000.17.pdb,0.520,0.465,0.054,0.000,0.382,0.000,0.420,0.000,0.426,0.042,0.000,0.116,0.014,0.000,0.231,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.479,0.451,0.522,0.600,0.000,0.512
model.000.18.pdb,0.435,0.118,0.200,0.000,0.290,0.000,0.377,0.186,0.552,0.333,0.000,0.406,0.261,0.000,0.310,0.000,0.000,0.000,0.000,0.371,0.000,0.000,0.151,0.176,0.383,0.149,0.000,0.119
model.000.19.pdb,0.673,0.211,0.226,0.000,0.464,0.000,0.540,0.118,0.660,0.266,0.000,0.239,0.212,0.013,0.194,0.000,0.000,0.000,0.000,0.258,0.000,0.000,0.262,0.356,0.382,0.228,0.000,0.214
model.000.20.pdb,0.085,0.000,0.000,0.216,0.000,0.193,0.000,0.127,0.083,0.152,0.000,0.418,0.172,0.000,0.446,0.125,0.045,0.014,0.000,0.090,0.173,0.060,0.000,0.000,0.164,0.000,0.189,0.000
model.000.21.pdb,0.013,0.000,0.000,0.103,0.000,0.186,0.000,0.014,0.013,0.054,0.000,0.333,0.055,0.000,0.383,0.042,0.075,0.000,0.028,0.014,0.312,0.106,0.000,0.000,0.106,0.000,0.275,0.000
model.000.22.pdb,0.027,0.123,0.000,0.000,0.013,0.030,0.014,0.000,0.013,0.000,0.000,0.099,0.000,0.057,0.141,0.000,0.014,0.027,0.014,0.000,0.070,0.060,0.059,0.042,0.092,0.121,0.068,0.105
model.000.23.pdb,0.000,0.000,0.000,0.154,0.000,0.294,0.000,0.000,0.000,0.000,0.030,0.101,0.000,0.029,0.145,0.111,0.193,0.058,0.094,0.000,0.475,0.255,0.000,0.000,0.030,0.000,0.386,0.000
model.000.24.pdb,0.585,0.246,0.175,0.000,0.377,0.000,0.519,0.114,0.604,0.277,0.000,0.232,0.206,0.000,0.239,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.274,0.302,0.472,0.333,0.000,0.250
model.000.25.pdb,0.262,0.015,0.354,0.015,0.206,0.000,0.283,0.288,0.361,0.723,0.014,0.203,0.509,0.000,0.089,0.041,0.000,0.013,0.013,0.560,0.000,0.000,0.069,0.111,0.134,0.045,0.015,0.046
model.000.26.pdb,0.333,0.675,0.033,0.000,0.404,0.000,0.316,0.000,0.246,0.013,0.000,0.052,0.000,0.027,0.105,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.667,0.418,0.276,0.659,0.000,0.610
model.000.27.pdb,0.061,0.000,0.359,0.146,0.077,0.070,0.121,0.362,0.109,0.327,0.105,0.014,0.417,0.000,0.000,0.226,0.016,0.097,0.066,0.375,0.000,0.032,0.000,0.046,0.000,0.000,0.018,0.000
model.000.28.pdb,0.000,0.000,0.038,0.357,0.000,0.260,0.000,0.404,0.000,0.224,0.140,0.058,0.321,0.000,0.056,0.426,0.102,0.167,0.136,0.115,0.057,0.158,0.000,0.000,0.000,0.000,0.115,0.000
model.000.29.pdb,0.127,0.000,0.000,0.083,0.026,0.109,0.027,0.028,0.110,0.082,0.000,0.528,0.099,0.000,0.474,0.056,0.043,0.013,0.014,0.041,0.208,0.057,0.000,0.013,0.213,0.015,0.158,0.000
