 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.12.pdb,0.123,0.474,0.104,0.000,0.092,0.235,0.246,0.169,0.000,0.564,0.278,0.192,0.273,0.265,0.172,0.340,0.215,0.103,0.423,0.000,0.321,0.097,0.067,0.273,0.094
model.000.13.pdb,0.000,0.096,0.000,0.027,0.000,0.306,0.043,0.014,0.000,0.216,0.346,0.145,0.651,0.370,0.255,0.360,0.143,0.000,0.316,0.028,0.578,0.000,0.080,0.036,0.000
model.000.14.pdb,0.029,0.000,0.141,0.025,0.026,0.000,0.083,0.041,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.162,0.188,0.013,0.000,0.000,0.103,0.000,0.000,0.055
model.000.15.pdb,0.029,0.000,0.053,0.000,0.000,0.232,0.116,0.000,0.000,0.015,0.293,0.000,0.101,0.193,0.000,0.014,0.466,0.080,0.231,0.000,0.118,0.000,0.000,0.000,0.000
model.000.16.pdb,0.250,0.130,0.148,0.200,0.264,0.000,0.081,0.300,0.435,0.096,0.000,0.137,0.000,0.000,0.067,0.050,0.000,0.076,0.000,0.236,0.000,0.280,0.288,0.209,0.245
model.000.17.pdb,0.239,0.750,0.175,0.000,0.208,0.120,0.306,0.378,0.050,0.588,0.107,0.146,0.086,0.122,0.089,0.200,0.108,0.133,0.175,0.000,0.125,0.220,0.074,0.581,0.212
model.000.18.pdb,0.431,0.161,0.509,0.076,0.538,0.000,0.270,0.592,0.254,0.094,0.000,0.014,0.000,0.000,0.000,0.013,0.035,0.474,0.012,0.095,0.000,0.674,0.047,0.275,0.549
model.000.19.pdb,0.159,0.250,0.169,0.000,0.111,0.532,0.311,0.147,0.000,0.273,0.529,0.029,0.274,0.543,0.055,0.118,0.375,0.167,0.660,0.000,0.386,0.100,0.000,0.204,0.113
model.000.20.pdb,0.109,0.340,0.125,0.000,0.083,0.346,0.258,0.134,0.000,0.417,0.382,0.113,0.328,0.327,0.103,0.233,0.265,0.123,0.500,0.000,0.375,0.087,0.036,0.260,0.085
model.000.21.pdb,0.212,0.019,0.159,0.190,0.373,0.000,0.029,0.259,0.605,0.000,0.000,0.034,0.000,0.000,0.015,0.015,0.000,0.138,0.000,0.268,0.000,0.314,0.162,0.078,0.232
model.000.22.pdb,0.447,0.132,0.500,0.013,0.531,0.000,0.271,0.460,0.138,0.048,0.000,0.015,0.000,0.000,0.000,0.000,0.037,0.463,0.013,0.027,0.000,0.636,0.024,0.200,0.609
model.000.23.pdb,0.000,0.033,0.000,0.390,0.000,0.015,0.000,0.014,0.152,0.098,0.014,0.478,0.118,0.030,0.480,0.304,0.000,0.000,0.039,0.418,0.101,0.014,0.686,0.000,0.000
model.000.24.pdb,0.103,0.015,0.181,0.000,0.038,0.057,0.206,0.053,0.000,0.000,0.081,0.000,0.013,0.028,0.000,0.000,0.385,0.229,0.104,0.000,0.013,0.082,0.000,0.015,0.066
model.000.25.pdb,0.000,0.000,0.037,0.076,0.000,0.000,0.039,0.000,0.026,0.000,0.013,0.000,0.013,0.000,0.000,0.000,0.128,0.037,0.012,0.038,0.000,0.013,0.000,0.000,0.000
model.000.26.pdb,0.196,0.000,0.340,0.058,0.283,0.000,0.115,0.294,0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.333,0.000,0.113,0.000,0.354,0.013,0.019,0.288
model.000.27.pdb,0.055,0.000,0.153,0.061,0.083,0.000,0.083,0.086,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.211,0.000,0.065,0.000,0.170,0.000,0.000,0.103
model.000.28.pdb,0.024,0.101,0.000,0.371,0.022,0.025,0.000,0.060,0.200,0.174,0.023,0.519,0.184,0.038,0.517,0.450,0.000,0.000,0.044,0.373,0.169,0.035,0.695,0.070,0.023
model.000.29.pdb,0.468,0.151,0.646,0.013,0.490,0.000,0.333,0.574,0.119,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.600,0.039,0.027,0.000,0.698,0.012,0.220,0.667
