 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.514,0.548,0.489,0.294,0.127,0.109,0.026,0.155,0.186,0.123,0.245,0.086,0.381,0.063,0.385,0.500,0.595,0.510,0.063,0.692,0.312,0.042,0.395,0.103,0.150,0.118
f_min.final_model.000.11.det_cont.csv,0.075,0.169,0.224,0.296,0.424,0.119,0.377,0.614,0.233,0.351,0.321,0.333,0.000,0.354,0.267,0.143,0.109,0.258,0.467,0.014,0.015,0.529,0.000,0.545,0.217,0.143
f_min.final_model.000.12.det_cont.csv,0.151,0.197,0.230,0.321,0.397,0.129,0.313,0.442,0.393,0.350,0.396,0.333,0.048,0.353,0.270,0.133,0.119,0.281,0.460,0.042,0.109,0.439,0.062,0.674,0.222,0.135
f_min.final_model.000.13.det_cont.csv,0.071,0.115,0.141,0.257,0.645,0.431,0.672,0.348,0.373,0.532,0.257,0.633,0.026,0.828,0.175,0.079,0.060,0.185,0.738,0.000,0.149,0.600,0.038,0.303,0.444,0.420
f_min.final_model.000.14.det_cont.csv,0.349,0.458,0.500,0.732,0.441,0.134,0.269,0.500,0.471,0.322,0.821,0.306,0.145,0.328,0.571,0.413,0.358,0.549,0.309,0.164,0.153,0.254,0.161,0.380,0.233,0.157
f_min.final_model.000.15.det_cont.csv,0.382,0.229,0.326,0.250,0.175,0.226,0.072,0.109,0.391,0.175,0.176,0.167,0.486,0.114,0.158,0.286,0.271,0.259,0.130,0.277,0.583,0.115,0.500,0.115,0.312,0.207
f_min.final_model.000.16.det_cont.csv,0.441,0.452,0.537,0.292,0.101,0.063,0.027,0.189,0.179,0.078,0.240,0.043,0.500,0.053,0.333,0.556,0.575,0.489,0.026,0.512,0.341,0.014,0.514,0.091,0.121,0.075
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.000,0.016,0.013,0.030,0.013,0.016,0.000,0.014,0.016,0.014,0.000,0.012,0.045,0.018,0.016,0.000,0.038,0.016,0.000,0.059,0.000,0.088,0.015,0.057
f_min.final_model.000.18.det_cont.csv,0.346,0.577,0.556,0.383,0.183,0.073,0.102,0.254,0.208,0.125,0.407,0.107,0.250,0.122,0.589,0.510,0.680,0.596,0.098,0.596,0.194,0.071,0.283,0.191,0.103,0.081
f_min.final_model.000.19.det_cont.csv,0.017,0.000,0.000,0.057,0.239,0.491,0.354,0.027,0.130,0.209,0.028,0.312,0.065,0.296,0.000,0.000,0.000,0.000,0.278,0.000,0.183,0.188,0.079,0.000,0.222,0.527
f_min.final_model.000.20.det_cont.csv,0.269,0.200,0.270,0.274,0.500,0.448,0.388,0.212,0.431,0.536,0.197,0.508,0.315,0.406,0.133,0.217,0.194,0.243,0.448,0.197,0.462,0.403,0.352,0.185,0.608,0.459
f_min.final_model.000.21.det_cont.csv,0.235,0.250,0.400,0.407,0.475,0.227,0.343,0.351,0.667,0.317,0.407,0.387,0.259,0.362,0.302,0.273,0.222,0.400,0.382,0.152,0.377,0.333,0.296,0.396,0.362,0.211
f_min.final_model.000.22.det_cont.csv,0.245,0.304,0.442,0.510,0.443,0.295,0.333,0.316,0.773,0.306,0.510,0.424,0.222,0.353,0.311,0.259,0.271,0.414,0.353,0.121,0.365,0.323,0.259,0.286,0.453,0.273
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.000,0.000,0.113,0.129,0.179,0.138,0.000,0.200,0.000,0.136,0.000,0.153,0.000,0.000,0.000,0.000,0.169,0.000,0.000,0.237,0.000,0.189,0.097,0.210
f_min.final_model.000.24.det_cont.csv,0.000,0.015,0.015,0.046,0.155,0.090,0.139,0.232,0.029,0.154,0.079,0.114,0.000,0.147,0.104,0.051,0.015,0.027,0.229,0.000,0.000,0.288,0.000,0.320,0.076,0.130
f_min.final_model.000.25.det_cont.csv,0.033,0.014,0.013,0.087,0.309,0.600,0.413,0.027,0.145,0.302,0.056,0.393,0.063,0.368,0.000,0.000,0.000,0.012,0.329,0.000,0.200,0.239,0.078,0.000,0.279,0.635
f_min.final_model.000.26.det_cont.csv,0.291,0.566,0.491,0.377,0.225,0.060,0.153,0.328,0.257,0.167,0.424,0.160,0.188,0.186,0.552,0.368,0.545,0.614,0.146,0.500,0.141,0.136,0.200,0.262,0.130,0.080
f_min.final_model.000.27.det_cont.csv,0.164,0.101,0.130,0.167,0.379,0.708,0.400,0.083,0.328,0.377,0.116,0.426,0.211,0.377,0.078,0.109,0.099,0.090,0.357,0.116,0.423,0.232,0.246,0.071,0.455,0.673
f_min.final_model.000.28.det_cont.csv,0.341,0.449,0.521,0.412,0.178,0.041,0.089,0.377,0.206,0.113,0.412,0.093,0.280,0.125,0.560,0.610,0.622,0.538,0.111,0.385,0.190,0.081,0.294,0.228,0.087,0.051
f_min.final_model.000.29.det_cont.csv,0.000,0.000,0.000,0.000,0.024,0.118,0.076,0.000,0.014,0.040,0.000,0.038,0.000,0.060,0.013,0.000,0.014,0.000,0.047,0.044,0.030,0.039,0.000,0.062,0.000,0.125
