 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv
f_min.final_model.000.14.det_cont.csv,0.658,0.148,0.707,0.133,0.281,0.438,0.173,0.149,0.091,0.429,0.000,0.794,0.340,0.014,0.449,0.291,0.339,0.463,0.000,0.525,0.027,0.029,0.440,0.371,0.425,0.349,0.543,0.213
f_min.final_model.000.15.det_cont.csv,0.422,0.420,0.340,0.150,0.644,0.296,0.309,0.265,0.217,0.651,0.032,0.348,0.214,0.164,0.241,0.180,0.455,0.605,0.014,0.512,0.242,0.000,0.281,0.194,0.208,0.475,0.180,0.339
f_min.final_model.000.16.det_cont.csv,0.072,0.500,0.013,0.097,0.333,0.013,0.303,0.280,0.092,0.174,0.156,0.000,0.040,0.761,0.012,0.051,0.125,0.076,0.292,0.075,0.812,0.064,0.012,0.000,0.030,0.169,0.000,0.288
f_min.final_model.000.17.det_cont.csv,0.315,0.114,0.660,0.310,0.174,0.400,0.333,0.274,0.250,0.258,0.092,0.500,0.531,0.000,0.549,0.580,0.381,0.283,0.000,0.302,0.012,0.053,0.667,0.576,0.512,0.158,0.681,0.323
f_min.final_model.000.18.det_cont.csv,0.172,0.065,0.464,0.333,0.104,0.421,0.333,0.276,0.254,0.139,0.087,0.304,0.549,0.000,0.509,0.596,0.300,0.108,0.037,0.141,0.023,0.105,0.556,0.702,0.438,0.061,0.482,0.303
f_min.final_model.000.19.det_cont.csv,0.278,0.246,0.462,0.451,0.339,0.230,0.469,0.422,0.393,0.382,0.078,0.314,0.521,0.070,0.351,0.571,0.574,0.347,0.000,0.288,0.123,0.013,0.560,0.358,0.432,0.280,0.283,0.481
f_min.final_model.000.20.det_cont.csv,0.085,0.050,0.292,0.414,0.087,0.169,0.291,0.237,0.323,0.091,0.132,0.190,0.397,0.000,0.288,0.491,0.240,0.072,0.087,0.056,0.023,0.323,0.344,0.414,0.315,0.029,0.308,0.275
f_min.final_model.000.21.det_cont.csv,0.360,0.119,0.339,0.074,0.164,0.805,0.094,0.071,0.055,0.271,0.000,0.435,0.263,0.000,0.583,0.188,0.167,0.275,0.099,0.320,0.013,0.069,0.328,0.607,0.265,0.167,0.357,0.113
f_min.final_model.000.22.det_cont.csv,0.143,0.183,0.340,0.500,0.233,0.186,0.391,0.365,0.490,0.224,0.164,0.240,0.478,0.014,0.286,0.565,0.569,0.245,0.000,0.170,0.055,0.058,0.521,0.323,0.349,0.180,0.286,0.316
f_min.final_model.000.23.det_cont.csv,0.000,0.215,0.000,0.000,0.108,0.000,0.128,0.106,0.038,0.013,0.220,0.000,0.000,0.463,0.000,0.000,0.011,0.000,0.547,0.000,0.417,0.306,0.000,0.033,0.000,0.031,0.000,0.078
f_min.final_model.000.24.det_cont.csv,0.386,0.153,0.789,0.269,0.246,0.396,0.284,0.258,0.207,0.283,0.052,0.639,0.512,0.000,0.568,0.468,0.375,0.318,0.000,0.341,0.014,0.029,0.628,0.456,0.571,0.244,0.468,0.333
f_min.final_model.000.25.det_cont.csv,0.105,0.517,0.197,0.391,0.469,0.111,0.730,0.656,0.388,0.282,0.217,0.123,0.257,0.319,0.179,0.314,0.389,0.174,0.068,0.123,0.426,0.022,0.257,0.218,0.200,0.197,0.136,0.610
f_min.final_model.000.26.det_cont.csv,0.543,0.151,0.525,0.113,0.231,0.429,0.129,0.118,0.086,0.271,0.019,0.576,0.349,0.017,0.409,0.265,0.250,0.378,0.000,0.529,0.015,0.033,0.465,0.310,0.412,0.324,0.409,0.161
f_min.final_model.000.27.det_cont.csv,0.317,0.387,0.246,0.254,0.508,0.214,0.368,0.443,0.294,0.458,0.197,0.242,0.221,0.162,0.176,0.192,0.484,0.407,0.011,0.375,0.243,0.011,0.294,0.161,0.177,0.396,0.130,0.364
f_min.final_model.000.28.det_cont.csv,0.694,0.259,0.388,0.031,0.449,0.314,0.147,0.122,0.077,0.581,0.000,0.475,0.182,0.115,0.232,0.131,0.375,0.526,0.014,0.686,0.138,0.000,0.296,0.186,0.196,0.600,0.255,0.220
