 ,model.000.00.det_cont.csv,model.000.01.det_cont.csv,model.000.02.det_cont.csv,model.000.03.det_cont.csv,model.000.04.det_cont.csv,model.000.05.det_cont.csv,model.000.06.det_cont.csv,model.000.07.det_cont.csv,model.000.08.det_cont.csv,model.000.09.det_cont.csv,model.000.10.det_cont.csv,model.000.11.det_cont.csv,model.000.12.det_cont.csv,model.000.13.det_cont.csv,model.000.14.det_cont.csv,model.000.15.det_cont.csv,model.000.16.det_cont.csv,model.000.17.det_cont.csv,model.000.18.det_cont.csv,model.000.19.det_cont.csv,model.000.20.det_cont.csv,model.000.21.det_cont.csv,model.000.22.det_cont.csv,model.000.23.det_cont.csv,model.000.24.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.245,0.188,0.373,0.129,0.400,0.462,0.245,0.389,0.255,0.435,0.407,0.358,0.296,0.000,0.444,0.000,0.213,0.150,0.104,0.087,0.159,0.500,0.491,0.412,0.207
f_min.final_model.000.11.det_cont.csv,0.155,0.132,0.673,0.224,0.466,0.283,0.117,0.118,0.148,0.500,0.105,0.074,0.029,0.000,0.314,0.122,0.087,0.273,0.089,0.118,0.095,0.206,0.250,0.043,0.076
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.103,0.000,0.114,0.000,0.000,0.000,0.000,0.137,0.013,0.320,0.280,0.113,0.197,0.118,0.000,0.000,0.013,0.865,0.000,0.230,0.237,0.222,0.000
f_min.final_model.000.13.det_cont.csv,0.081,0.041,0.344,0.029,0.491,0.328,0.031,0.118,0.045,0.406,0.167,0.490,0.420,0.000,0.673,0.037,0.027,0.045,0.000,0.267,0.013,0.708,0.538,0.553,0.044
f_min.final_model.000.14.det_cont.csv,0.400,0.500,0.127,0.667,0.057,0.222,0.474,0.477,0.639,0.129,0.490,0.051,0.071,0.000,0.025,0.000,0.641,0.639,0.364,0.000,0.273,0.029,0.095,0.033,0.622
f_min.final_model.000.15.det_cont.csv,0.295,0.314,0.440,0.386,0.293,0.457,0.188,0.245,0.364,0.290,0.254,0.050,0.052,0.000,0.281,0.014,0.226,0.500,0.206,0.031,0.145,0.220,0.250,0.068,0.220
f_min.final_model.000.16.det_cont.csv,0.031,0.000,0.491,0.044,0.417,0.132,0.015,0.000,0.000,0.429,0.012,0.074,0.000,0.082,0.296,0.297,0.000,0.061,0.000,0.188,0.013,0.206,0.176,0.043,0.000
f_min.final_model.000.17.det_cont.csv,0.391,0.451,0.129,0.333,0.155,0.298,0.422,0.622,0.558,0.208,0.688,0.186,0.236,0.000,0.141,0.000,0.600,0.288,0.297,0.014,0.279,0.179,0.185,0.207,0.511
f_min.final_model.000.18.det_cont.csv,0.333,0.393,0.107,0.200,0.178,0.258,0.333,0.510,0.340,0.230,0.667,0.194,0.241,0.098,0.163,0.063,0.462,0.164,0.318,0.013,0.390,0.221,0.174,0.254,0.333
f_min.final_model.000.19.det_cont.csv,0.292,0.241,0.283,0.245,0.333,0.756,0.292,0.479,0.327,0.393,0.491,0.172,0.222,0.000,0.279,0.000,0.273,0.275,0.141,0.000,0.169,0.351,0.364,0.259,0.269
f_min.final_model.000.20.det_cont.csv,0.186,0.159,0.104,0.072,0.158,0.231,0.250,0.317,0.197,0.192,0.381,0.288,0.298,0.150,0.218,0.132,0.219,0.074,0.271,0.053,0.273,0.269,0.169,0.333,0.213
f_min.final_model.000.21.det_cont.csv,0.419,0.732,0.086,0.413,0.039,0.127,0.326,0.321,0.488,0.063,0.368,0.000,0.032,0.154,0.024,0.116,0.500,0.333,0.600,0.000,0.562,0.013,0.057,0.015,0.444
f_min.final_model.000.22.det_cont.csv,0.239,0.196,0.220,0.151,0.271,0.523,0.213,0.435,0.277,0.290,0.480,0.312,0.356,0.000,0.323,0.000,0.204,0.176,0.086,0.065,0.109,0.412,0.373,0.432,0.196
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.194,0.000,0.153,0.000,0.000,0.000,0.000,0.173,0.000,0.044,0.030,0.362,0.084,0.558,0.000,0.000,0.091,0.276,0.000,0.053,0.054,0.014,0.000
f_min.final_model.000.24.det_cont.csv,0.459,0.455,0.150,0.381,0.143,0.362,0.459,0.703,0.583,0.203,0.578,0.132,0.184,0.000,0.097,0.000,0.512,0.390,0.281,0.000,0.283,0.131,0.175,0.154,0.526
f_min.final_model.000.25.det_cont.csv,0.149,0.115,0.614,0.080,0.667,0.403,0.116,0.194,0.143,0.695,0.237,0.277,0.209,0.000,0.672,0.081,0.104,0.127,0.032,0.147,0.071,0.484,0.406,0.258,0.095
f_min.final_model.000.26.det_cont.csv,0.469,0.462,0.107,0.545,0.032,0.188,0.469,0.436,0.515,0.061,0.362,0.060,0.062,0.000,0.029,0.000,0.486,0.515,0.375,0.000,0.298,0.033,0.071,0.039,0.545
f_min.final_model.000.27.det_cont.csv,0.220,0.224,0.426,0.288,0.406,0.414,0.143,0.209,0.250,0.418,0.219,0.279,0.206,0.000,0.386,0.000,0.159,0.364,0.138,0.209,0.103,0.403,0.518,0.258,0.152
f_min.final_model.000.28.det_cont.csv,0.286,0.333,0.232,0.657,0.125,0.255,0.256,0.260,0.390,0.167,0.246,0.000,0.018,0.000,0.113,0.014,0.292,0.781,0.281,0.000,0.172,0.062,0.081,0.000,0.349
