 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.379,0.090,0.158,0.267,0.482,0.147,0.240,0.593,0.361,0.509,0.418,0.242,0.265,0.176,0.509,0.200,0.396,0.013,0.638,0.000,0.197,0.333,0.365,0.000,0.053,0.012,0.655,0.085,0.500,0.051
f_min.final_model.000.11.det_cont.csv,0.323,0.111,0.137,0.044,0.182,0.123,0.397,0.157,0.560,0.339,0.090,0.453,0.841,0.418,0.444,0.136,0.078,0.109,0.154,0.052,0.211,0.456,0.350,0.180,0.316,0.079,0.213,0.105,0.197,0.068
f_min.final_model.000.12.det_cont.csv,0.375,0.262,0.393,0.304,0.429,0.415,0.406,0.297,0.481,0.375,0.230,0.317,0.482,0.366,0.481,0.438,0.224,0.014,0.260,0.078,0.467,0.848,0.596,0.028,0.100,0.105,0.274,0.265,0.266,0.000
f_min.final_model.000.13.det_cont.csv,0.177,0.081,0.148,0.487,0.512,0.250,0.087,0.581,0.121,0.348,0.538,0.085,0.062,0.025,0.300,0.317,0.750,0.000,0.481,0.000,0.197,0.167,0.193,0.000,0.016,0.000,0.393,0.076,0.610,0.000
f_min.final_model.000.14.det_cont.csv,0.246,0.127,0.203,0.511,0.625,0.281,0.158,0.500,0.279,0.415,0.431,0.185,0.191,0.118,0.444,0.340,0.605,0.029,0.525,0.000,0.229,0.383,0.328,0.000,0.087,0.000,0.444,0.120,0.717,0.000
f_min.final_model.000.15.det_cont.csv,0.383,0.116,0.176,0.283,0.562,0.167,0.308,0.500,0.442,0.636,0.373,0.321,0.345,0.227,0.667,0.231,0.375,0.000,0.500,0.000,0.258,0.481,0.500,0.000,0.043,0.013,0.517,0.110,0.490,0.000
f_min.final_model.000.16.det_cont.csv,0.459,0.169,0.194,0.213,0.446,0.188,0.468,0.424,0.620,0.696,0.288,0.404,0.448,0.361,0.800,0.228,0.286,0.000,0.388,0.037,0.290,0.509,0.527,0.027,0.083,0.076,0.403,0.145,0.464,0.000
f_min.final_model.000.17.det_cont.csv,0.209,0.364,0.560,0.500,0.281,0.789,0.186,0.246,0.141,0.129,0.308,0.029,0.118,0.154,0.141,0.590,0.333,0.000,0.197,0.152,0.446,0.393,0.434,0.000,0.000,0.167,0.147,0.386,0.213,0.000
f_min.final_model.000.18.det_cont.csv,0.114,0.143,0.190,0.500,0.373,0.275,0.067,0.622,0.061,0.241,0.757,0.015,0.058,0.012,0.186,0.311,0.525,0.016,0.577,0.014,0.219,0.172,0.141,0.000,0.000,0.014,0.482,0.134,0.365,0.029
f_min.final_model.000.19.det_cont.csv,0.246,0.154,0.238,0.535,0.780,0.259,0.153,0.490,0.217,0.458,0.417,0.143,0.152,0.098,0.431,0.378,0.561,0.000,0.491,0.013,0.286,0.368,0.382,0.000,0.029,0.013,0.365,0.162,0.574,0.000
f_min.final_model.000.20.det_cont.csv,0.435,0.258,0.265,0.028,0.110,0.169,0.542,0.091,0.446,0.200,0.041,0.509,0.527,0.633,0.286,0.094,0.014,0.042,0.081,0.200,0.328,0.387,0.312,0.190,0.279,0.250,0.133,0.243,0.108,0.038
f_min.final_model.000.21.det_cont.csv,0.492,0.545,0.600,0.246,0.258,0.418,0.500,0.194,0.277,0.212,0.219,0.242,0.246,0.429,0.221,0.358,0.194,0.013,0.159,0.229,0.820,0.419,0.410,0.149,0.111,0.318,0.157,0.483,0.135,0.025
f_min.final_model.000.22.det_cont.csv,0.333,0.054,0.095,0.190,0.407,0.060,0.194,0.519,0.288,0.553,0.291,0.210,0.197,0.134,0.462,0.140,0.314,0.062,0.517,0.000,0.120,0.209,0.295,0.000,0.028,0.000,0.589,0.051,0.351,0.056
f_min.final_model.000.23.det_cont.csv,0.400,0.771,0.692,0.310,0.221,0.418,0.348,0.147,0.122,0.111,0.182,0.093,0.089,0.351,0.122,0.385,0.175,0.027,0.118,0.410,0.569,0.294,0.303,0.132,0.096,0.450,0.091,0.780,0.091,0.092
f_min.final_model.000.24.det_cont.csv,0.509,0.156,0.222,0.226,0.565,0.196,0.323,0.471,0.500,0.725,0.288,0.246,0.339,0.236,0.714,0.245,0.286,0.000,0.424,0.042,0.250,0.375,0.562,0.000,0.015,0.070,0.441,0.147,0.404,0.000
f_min.final_model.000.25.det_cont.csv,0.085,0.014,0.000,0.000,0.045,0.000,0.162,0.029,0.232,0.082,0.000,0.417,0.532,0.211,0.150,0.000,0.000,0.265,0.038,0.043,0.055,0.194,0.091,0.340,0.571,0.028,0.079,0.014,0.111,0.169
f_min.final_model.000.26.det_cont.csv,0.536,0.176,0.169,0.044,0.200,0.074,0.571,0.174,0.625,0.389,0.074,0.604,0.397,0.557,0.472,0.063,0.095,0.044,0.200,0.110,0.303,0.361,0.350,0.143,0.230,0.155,0.247,0.151,0.274,0.000
f_min.final_model.000.27.det_cont.csv,0.709,0.313,0.319,0.179,0.387,0.227,0.600,0.328,0.509,0.566,0.209,0.371,0.348,0.493,0.593,0.210,0.203,0.000,0.307,0.171,0.446,0.444,0.534,0.067,0.092,0.216,0.338,0.296,0.318,0.012
f_min.final_model.000.28.det_cont.csv,0.227,0.103,0.147,0.404,0.490,0.214,0.122,0.727,0.177,0.400,0.619,0.108,0.118,0.059,0.352,0.292,0.600,0.015,0.667,0.000,0.191,0.200,0.246,0.000,0.014,0.000,0.536,0.097,0.574,0.028
f_min.final_model.000.29.det_cont.csv,0.359,0.620,0.909,0.286,0.215,0.480,0.328,0.139,0.145,0.101,0.156,0.083,0.093,0.391,0.113,0.388,0.148,0.014,0.110,0.390,0.554,0.333,0.367,0.090,0.056,0.407,0.070,0.667,0.067,0.053
