 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.120,0.072,0.203,0.313,0.327,0.444,0.392,0.145,0.315,0.317,0.115,0.246,0.033,0.095,0.393,0.529,0.000,0.387,0.159,0.643,0.032
f_min.final_model.000.11.det_cont.csv,0.239,0.172,0.333,0.712,0.522,0.580,0.469,0.333,0.469,0.538,0.232,0.344,0.143,0.207,0.491,0.463,0.063,0.582,0.321,0.321,0.100
f_min.final_model.000.12.det_cont.csv,0.000,0.000,0.000,0.099,0.000,0.197,0.014,0.125,0.029,0.176,0.000,0.012,0.000,0.000,0.039,0.254,0.000,0.160,0.042,0.273,0.000
f_min.final_model.000.13.det_cont.csv,0.319,0.509,0.571,0.324,0.471,0.400,0.351,0.100,0.571,0.149,0.423,0.642,0.302,0.531,0.585,0.167,0.333,0.243,0.215,0.271,0.224
f_min.final_model.000.14.det_cont.csv,0.500,0.380,0.650,0.383,0.561,0.352,0.404,0.200,0.571,0.175,0.465,0.490,0.381,0.455,0.553,0.159,0.298,0.209,0.283,0.208,0.304
f_min.final_model.000.15.det_cont.csv,0.378,0.255,0.500,0.456,0.488,0.431,0.610,0.245,0.535,0.233,0.465,0.407,0.318,0.362,0.431,0.259,0.173,0.286,0.333,0.255,0.250
f_min.final_model.000.16.det_cont.csv,0.447,0.404,0.750,0.403,0.581,0.453,0.429,0.111,0.667,0.182,0.489,0.739,0.409,0.511,0.604,0.167,0.275,0.269,0.263,0.333,0.306
f_min.final_model.000.17.det_cont.csv,0.132,0.114,0.103,0.333,0.106,0.093,0.230,0.596,0.071,0.383,0.180,0.090,0.218,0.090,0.065,0.206,0.167,0.304,0.453,0.028,0.327
f_min.final_model.000.18.det_cont.csv,0.175,0.133,0.139,0.435,0.159,0.156,0.281,0.640,0.139,0.500,0.179,0.108,0.175,0.096,0.113,0.271,0.132,0.426,0.474,0.053,0.267
f_min.final_model.000.19.det_cont.csv,0.069,0.039,0.132,0.469,0.250,0.424,0.351,0.328,0.242,0.518,0.072,0.160,0.030,0.042,0.273,0.680,0.000,0.533,0.274,0.415,0.060
f_min.final_model.000.20.det_cont.csv,0.469,0.548,0.442,0.162,0.304,0.190,0.192,0.088,0.348,0.045,0.686,0.469,0.688,0.622,0.278,0.015,0.583,0.069,0.333,0.111,0.600
f_min.final_model.000.21.det_cont.csv,0.000,0.000,0.000,0.070,0.000,0.038,0.000,0.136,0.000,0.107,0.000,0.000,0.000,0.000,0.012,0.065,0.000,0.111,0.027,0.028,0.000
f_min.final_model.000.22.det_cont.csv,0.176,0.114,0.190,0.438,0.281,0.519,0.364,0.250,0.316,0.456,0.143,0.232,0.063,0.090,0.367,0.577,0.029,0.475,0.242,0.431,0.078
f_min.final_model.000.23.det_cont.csv,0.269,0.424,0.350,0.167,0.339,0.222,0.141,0.066,0.328,0.060,0.258,0.338,0.217,0.386,0.375,0.035,0.288,0.103,0.122,0.145,0.154
f_min.final_model.000.24.det_cont.csv,0.600,0.650,0.500,0.212,0.356,0.228,0.235,0.125,0.370,0.092,0.667,0.553,0.486,0.605,0.296,0.061,0.526,0.114,0.327,0.109,0.462
f_min.final_model.000.25.det_cont.csv,0.245,0.217,0.227,0.400,0.234,0.313,0.350,0.373,0.246,0.435,0.300,0.213,0.281,0.162,0.205,0.419,0.206,0.352,0.627,0.215,0.339
f_min.final_model.000.26.det_cont.csv,0.333,0.707,0.288,0.091,0.182,0.104,0.098,0.063,0.218,0.027,0.391,0.400,0.405,0.512,0.213,0.000,0.676,0.025,0.211,0.066,0.356
f_min.final_model.000.27.det_cont.csv,0.357,0.442,0.600,0.203,0.400,0.274,0.220,0.075,0.469,0.053,0.533,0.577,0.600,0.667,0.411,0.039,0.489,0.130,0.276,0.186,0.467
f_min.final_model.000.28.det_cont.csv,0.093,0.069,0.233,0.468,0.309,0.588,0.276,0.213,0.370,0.464,0.109,0.273,0.065,0.143,0.421,0.500,0.015,0.508,0.169,0.440,0.015
f_min.final_model.000.29.det_cont.csv,0.032,0.012,0.013,0.311,0.083,0.074,0.127,0.481,0.039,0.419,0.013,0.011,0.014,0.000,0.048,0.208,0.000,0.301,0.224,0.000,0.088
