 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.18.det_cont.csv,0.069,0.039,0.041,0.324,0.119,0.091,0.167,0.540,0.069,0.417,0.042,0.024,0.030,0.014,0.077,0.235,0.014,0.373,0.274,0.014,0.109
f_min.final_model.000.19.det_cont.csv,0.415,0.407,0.738,0.406,0.543,0.429,0.460,0.123,0.622,0.174,0.556,0.766,0.444,0.543,0.600,0.176,0.308,0.257,0.293,0.315,0.340
f_min.final_model.000.20.det_cont.csv,0.295,0.250,0.220,0.369,0.228,0.197,0.358,0.440,0.200,0.356,0.353,0.206,0.362,0.186,0.179,0.295,0.264,0.299,0.805,0.077,0.435
f_min.final_model.000.21.det_cont.csv,0.394,0.362,0.298,0.147,0.180,0.115,0.245,0.173,0.196,0.095,0.487,0.268,0.559,0.311,0.153,0.097,0.474,0.070,0.465,0.054,0.667
f_min.final_model.000.22.det_cont.csv,0.395,0.322,0.562,0.484,0.659,0.491,0.442,0.210,0.667,0.297,0.358,0.491,0.264,0.431,0.640,0.302,0.207,0.385,0.283,0.304,0.211
f_min.final_model.000.23.det_cont.csv,0.000,0.053,0.000,0.022,0.000,0.000,0.000,0.085,0.000,0.037,0.000,0.000,0.000,0.027,0.000,0.024,0.014,0.045,0.013,0.042,0.000
f_min.final_model.000.24.det_cont.csv,0.000,0.027,0.043,0.011,0.061,0.053,0.014,0.000,0.075,0.000,0.000,0.038,0.016,0.045,0.068,0.053,0.031,0.024,0.000,0.148,0.000
f_min.final_model.000.25.det_cont.csv,0.170,0.127,0.132,0.403,0.136,0.135,0.262,0.674,0.116,0.491,0.175,0.101,0.169,0.087,0.091,0.235,0.125,0.394,0.463,0.042,0.268
f_min.final_model.000.26.det_cont.csv,0.375,0.240,0.439,0.333,0.500,0.347,0.439,0.229,0.439,0.175,0.333,0.302,0.308,0.357,0.347,0.138,0.174,0.233,0.298,0.239,0.233
f_min.final_model.000.27.det_cont.csv,0.372,0.426,0.682,0.282,0.440,0.373,0.321,0.088,0.574,0.093,0.543,0.680,0.467,0.674,0.500,0.110,0.408,0.187,0.226,0.263,0.360
f_min.final_model.000.28.det_cont.csv,0.261,0.206,0.460,0.525,0.479,0.356,0.738,0.259,0.460,0.306,0.373,0.431,0.275,0.268,0.429,0.333,0.153,0.354,0.415,0.291,0.288
f_min.final_model.000.29.det_cont.csv,0.229,0.220,0.184,0.210,0.120,0.066,0.289,0.318,0.115,0.200,0.310,0.153,0.351,0.167,0.066,0.102,0.293,0.106,0.463,0.057,0.529
