 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.857,0.587,0.431,0.169,0.300,0.127,0.255,0.463,0.377,0.137,0.224,0.233,0.412,0.302,0.141,0.364,0.404,0.451,0.070,0.069,0.558,0.204,0.026,0.222,0.027,0.861
f_min.final_model.000.11.det_cont.csv,0.062,0.185,0.055,0.058,0.211,0.500,0.304,0.085,0.328,0.381,0.293,0.418,0.267,0.028,0.274,0.016,0.148,0.238,0.067,0.500,0.044,0.353,0.092,0.246,0.350,0.029
f_min.final_model.000.12.det_cont.csv,0.106,0.246,0.066,0.100,0.237,0.837,0.328,0.062,0.350,0.400,0.436,0.344,0.270,0.116,0.244,0.115,0.138,0.242,0.050,0.466,0.056,0.521,0.061,0.250,0.269,0.056
f_min.final_model.000.13.det_cont.csv,0.048,0.145,0.033,0.358,0.192,0.409,0.319,0.025,0.234,0.567,0.348,0.412,0.175,0.167,0.632,0.079,0.100,0.157,0.342,0.707,0.011,0.338,0.365,0.435,0.623,0.011
f_min.final_model.000.14.det_cont.csv,0.250,0.500,0.258,0.121,0.400,0.520,0.721,0.300,0.660,0.517,0.434,0.519,0.604,0.138,0.306,0.161,0.420,0.549,0.052,0.344,0.241,0.556,0.063,0.224,0.224,0.200
f_min.final_model.000.15.det_cont.csv,0.283,0.288,0.396,0.286,0.475,0.182,0.212,0.286,0.264,0.222,0.444,0.214,0.269,0.575,0.221,0.862,0.333,0.172,0.228,0.109,0.196,0.255,0.090,0.365,0.092,0.326
f_min.final_model.000.16.det_cont.csv,0.525,0.468,0.500,0.140,0.326,0.098,0.250,0.647,0.408,0.129,0.196,0.228,0.447,0.327,0.133,0.436,0.550,0.373,0.075,0.043,0.370,0.196,0.000,0.197,0.028,0.537
f_min.final_model.000.17.det_cont.csv,0.000,0.000,0.060,0.015,0.000,0.062,0.015,0.000,0.000,0.000,0.015,0.014,0.000,0.000,0.012,0.000,0.000,0.014,0.057,0.027,0.048,0.016,0.116,0.014,0.014,0.016
f_min.final_model.000.18.det_cont.csv,0.608,0.667,0.452,0.103,0.344,0.189,0.365,0.453,0.475,0.220,0.222,0.300,0.589,0.194,0.165,0.222,0.482,0.685,0.033,0.119,0.585,0.281,0.011,0.160,0.068,0.647
f_min.final_model.000.19.det_cont.csv,0.000,0.013,0.038,0.453,0.074,0.026,0.085,0.000,0.000,0.230,0.082,0.123,0.000,0.167,0.347,0.079,0.014,0.000,0.585,0.214,0.000,0.014,0.740,0.214,0.308,0.000
f_min.final_model.000.20.det_cont.csv,0.219,0.246,0.284,0.439,0.368,0.235,0.302,0.177,0.303,0.412,0.474,0.475,0.197,0.464,0.500,0.431,0.254,0.160,0.435,0.406,0.127,0.258,0.296,0.837,0.429,0.212
f_min.final_model.000.21.det_cont.csv,0.190,0.339,0.258,0.254,0.562,0.558,0.386,0.148,0.537,0.550,0.884,0.333,0.390,0.386,0.356,0.373,0.333,0.312,0.194,0.403,0.100,0.630,0.113,0.403,0.299,0.167
f_min.final_model.000.22.det_cont.csv,0.159,0.397,0.286,0.328,0.587,0.411,0.481,0.172,0.528,0.596,0.580,0.390,0.404,0.426,0.448,0.333,0.345,0.344,0.235,0.349,0.154,0.553,0.160,0.417,0.308,0.154
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.000,0.097,0.000,0.148,0.000,0.000,0.014,0.038,0.014,0.123,0.000,0.000,0.143,0.000,0.000,0.000,0.210,0.134,0.000,0.016,0.300,0.152,0.134,0.000
f_min.final_model.000.24.det_cont.csv,0.000,0.014,0.027,0.060,0.031,0.237,0.044,0.016,0.056,0.104,0.090,0.134,0.057,0.000,0.096,0.000,0.030,0.056,0.099,0.197,0.000,0.117,0.125,0.113,0.129,0.000
f_min.final_model.000.25.det_cont.csv,0.014,0.025,0.038,0.472,0.088,0.053,0.130,0.000,0.012,0.260,0.111,0.186,0.000,0.182,0.400,0.078,0.014,0.000,0.635,0.284,0.000,0.042,0.913,0.284,0.344,0.000
f_min.final_model.000.26.det_cont.csv,0.482,0.655,0.400,0.074,0.297,0.254,0.381,0.393,0.468,0.263,0.236,0.314,0.552,0.145,0.202,0.164,0.355,0.704,0.022,0.173,0.545,0.317,0.010,0.159,0.105,0.518
f_min.final_model.000.27.det_cont.csv,0.118,0.135,0.183,0.778,0.288,0.108,0.176,0.060,0.120,0.343,0.281,0.250,0.092,0.404,0.538,0.315,0.132,0.076,0.740,0.294,0.099,0.152,0.525,0.467,0.333,0.130
f_min.final_model.000.28.det_cont.csv,0.420,0.463,0.436,0.071,0.291,0.203,0.389,0.571,0.491,0.236,0.242,0.290,0.733,0.210,0.159,0.222,0.565,0.509,0.012,0.137,0.327,0.315,0.000,0.137,0.051,0.377
f_min.final_model.000.29.det_cont.csv,0.029,0.000,0.013,0.104,0.000,0.041,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.014,0.068,0.000,0.000,0.039,0.141,0.025,0.091,0.000,0.292,0.025,0.025,0.043
