 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.368,0.273,0.595,0.448,0.757,0.510,0.457,0.155,0.718,0.250,0.362,0.481,0.229,0.413,0.721,0.254,0.170,0.344,0.190,0.354,0.173
f_min.final_model.000.11.det_cont.csv,0.148,0.096,0.185,0.741,0.316,0.400,0.481,0.604,0.283,0.848,0.138,0.208,0.078,0.087,0.312,0.527,0.029,0.673,0.386,0.250,0.145
f_min.final_model.000.12.det_cont.csv,0.375,0.319,0.283,0.118,0.163,0.082,0.204,0.157,0.180,0.081,0.474,0.278,0.700,0.326,0.138,0.031,0.500,0.028,0.419,0.056,0.828
f_min.final_model.000.13.det_cont.csv,0.111,0.073,0.197,0.645,0.277,0.415,0.417,0.466,0.288,0.661,0.139,0.218,0.055,0.107,0.333,0.533,0.000,0.818,0.279,0.239,0.082
f_min.final_model.000.14.det_cont.csv,0.349,0.462,0.521,0.286,0.479,0.404,0.281,0.090,0.587,0.125,0.346,0.537,0.275,0.479,0.600,0.143,0.333,0.222,0.154,0.315,0.196
f_min.final_model.000.15.det_cont.csv,0.484,0.455,0.605,0.200,0.475,0.259,0.220,0.070,0.452,0.062,0.526,0.511,0.606,0.686,0.388,0.030,0.436,0.118,0.260,0.204,0.447
f_min.final_model.000.16.det_cont.csv,0.395,0.614,0.581,0.214,0.347,0.250,0.193,0.062,0.447,0.056,0.512,0.592,0.500,0.833,0.364,0.027,0.537,0.107,0.228,0.158,0.378
f_min.final_model.000.17.det_cont.csv,0.364,0.529,0.596,0.373,0.460,0.367,0.389,0.087,0.562,0.153,0.532,0.848,0.396,0.622,0.547,0.171,0.400,0.216,0.242,0.259,0.302
f_min.final_model.000.18.det_cont.csv,0.111,0.073,0.164,0.594,0.277,0.460,0.393,0.466,0.269,0.691,0.108,0.203,0.055,0.078,0.314,0.643,0.013,0.667,0.318,0.383,0.097
f_min.final_model.000.19.det_cont.csv,0.333,0.707,0.314,0.091,0.182,0.104,0.117,0.081,0.218,0.027,0.422,0.426,0.439,0.512,0.233,0.000,0.722,0.025,0.232,0.066,0.386
f_min.final_model.000.20.det_cont.csv,0.289,0.264,0.231,0.266,0.216,0.092,0.362,0.391,0.164,0.263,0.386,0.213,0.474,0.216,0.127,0.127,0.311,0.162,0.610,0.069,0.657
f_min.final_model.000.21.det_cont.csv,0.091,0.054,0.136,0.460,0.237,0.414,0.364,0.316,0.230,0.537,0.108,0.149,0.015,0.043,0.262,0.907,0.000,0.552,0.305,0.352,0.045
f_min.final_model.000.22.det_cont.csv,0.394,0.362,0.298,0.147,0.180,0.097,0.245,0.196,0.196,0.113,0.487,0.291,0.710,0.341,0.153,0.046,0.474,0.056,0.465,0.073,0.897
f_min.final_model.000.23.det_cont.csv,0.163,0.115,0.300,0.262,0.340,0.532,0.327,0.083,0.413,0.217,0.170,0.316,0.118,0.189,0.385,0.385,0.053,0.290,0.117,0.909,0.073
f_min.final_model.000.24.det_cont.csv,0.222,0.141,0.186,0.526,0.308,0.305,0.458,0.522,0.250,0.529,0.218,0.159,0.148,0.097,0.222,0.481,0.102,0.518,0.532,0.172,0.185
f_min.final_model.000.25.det_cont.csv,0.170,0.111,0.116,0.492,0.210,0.200,0.283,0.711,0.149,0.604,0.138,0.087,0.095,0.071,0.151,0.292,0.043,0.460,0.386,0.071,0.183
