 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv,f_min.final_model.000.21.det_cont.csv,f_min.final_model.000.22.det_cont.csv,f_min.final_model.000.23.det_cont.csv,f_min.final_model.000.24.det_cont.csv,f_min.final_model.000.25.det_cont.csv,f_min.final_model.000.26.det_cont.csv,f_min.final_model.000.27.det_cont.csv,f_min.final_model.000.28.det_cont.csv,f_min.final_model.000.29.det_cont.csv
f_min.final_model.000.10.det_cont.csv,0.169,0.309,0.218,0.476,0.610,0.211,0.375,0.159,0.465,0.347,0.365,0.591,0.161,0.016,0.585,0.487,0.410,0.370,0.175,0.353,0.000,0.000,0.173,0.000,0.045,0.000,0.409,0.377,0.327,0.000
f_min.final_model.000.11.det_cont.csv,0.108,0.164,0.333,0.293,0.549,0.269,0.215,0.192,0.462,0.491,0.556,0.804,0.308,0.118,0.592,0.246,0.597,0.450,0.101,0.206,0.000,0.000,0.295,0.000,0.188,0.051,0.442,0.433,0.206,0.013
f_min.final_model.000.12.det_cont.csv,0.164,0.264,0.127,0.629,0.605,0.125,0.386,0.103,0.450,0.245,0.245,0.444,0.063,0.018,0.579,0.472,0.286,0.278,0.169,0.362,0.015,0.016,0.092,0.000,0.032,0.016,0.326,0.259,0.362,0.000
f_min.final_model.000.13.det_cont.csv,0.094,0.141,0.214,0.370,0.558,0.176,0.218,0.110,0.561,0.396,0.412,0.651,0.159,0.032,0.650,0.255,0.526,0.271,0.087,0.186,0.000,0.000,0.171,0.000,0.094,0.029,0.500,0.276,0.228,0.000
f_min.final_model.000.14.det_cont.csv,0.129,0.155,0.540,0.161,0.434,0.391,0.134,0.286,0.237,0.652,0.761,0.538,0.414,0.159,0.364,0.115,0.433,0.424,0.091,0.179,0.037,0.013,0.420,0.000,0.234,0.097,0.532,0.431,0.082,0.026
f_min.final_model.000.15.det_cont.csv,0.254,0.242,0.426,0.059,0.086,0.477,0.188,0.475,0.014,0.206,0.266,0.143,0.464,0.404,0.027,0.133,0.116,0.377,0.235,0.295,0.186,0.145,0.508,0.040,0.411,0.254,0.091,0.383,0.113,0.219
f_min.final_model.000.16.det_cont.csv,0.117,0.207,0.048,0.538,0.455,0.050,0.306,0.054,0.743,0.208,0.211,0.417,0.029,0.000,0.500,0.366,0.400,0.200,0.125,0.264,0.000,0.000,0.024,0.000,0.000,0.000,0.333,0.164,0.288,0.000
f_min.final_model.000.17.det_cont.csv,0.426,0.406,0.466,0.039,0.151,0.733,0.183,0.661,0.038,0.312,0.348,0.205,0.364,0.286,0.078,0.118,0.182,0.373,0.394,0.299,0.300,0.243,0.710,0.036,0.299,0.160,0.176,0.400,0.130,0.132
f_min.final_model.000.18.det_cont.csv,0.451,0.638,0.200,0.396,0.340,0.338,0.578,0.371,0.259,0.203,0.206,0.271,0.149,0.062,0.273,0.537,0.182,0.436,0.463,0.805,0.200,0.156,0.310,0.014,0.057,0.042,0.218,0.444,0.451,0.028
f_min.final_model.000.19.det_cont.csv,0.061,0.074,0.447,0.050,0.218,0.261,0.063,0.246,0.085,0.314,0.358,0.246,0.698,0.391,0.119,0.073,0.208,0.364,0.042,0.077,0.000,0.000,0.309,0.062,0.591,0.296,0.167,0.298,0.045,0.232
f_min.final_model.000.20.det_cont.csv,0.245,0.380,0.085,0.735,0.465,0.137,0.537,0.132,0.395,0.189,0.193,0.340,0.062,0.000,0.476,0.528,0.221,0.315,0.268,0.435,0.094,0.100,0.118,0.000,0.000,0.000,0.255,0.273,0.500,0.000
