 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.18.det_cont.csv,0.087,0.057,0.200,0.621,0.275,0.426,0.385,0.429,0.268,0.633,0.115,0.220,0.038,0.100,0.329,0.565,0.000,0.750,0.260,0.313,0.063
f_min.final_model.000.19.det_cont.csv,0.155,0.104,0.242,0.678,0.404,0.508,0.464,0.439,0.367,0.636,0.162,0.278,0.121,0.143,0.435,0.534,0.055,0.644,0.333,0.356,0.118
f_min.final_model.000.20.det_cont.csv,0.362,0.281,0.549,0.574,0.711,0.509,0.491,0.254,0.681,0.359,0.382,0.459,0.268,0.400,0.623,0.344,0.194,0.446,0.328,0.305,0.217
f_min.final_model.000.21.det_cont.csv,0.115,0.075,0.221,0.562,0.328,0.452,0.407,0.407,0.297,0.596,0.143,0.208,0.056,0.110,0.324,0.636,0.013,0.633,0.308,0.397,0.085
f_min.final_model.000.22.det_cont.csv,0.000,0.000,0.014,0.101,0.030,0.222,0.029,0.094,0.061,0.147,0.000,0.039,0.000,0.015,0.085,0.262,0.000,0.164,0.043,0.283,0.000
f_min.final_model.000.23.det_cont.csv,0.015,0.075,0.078,0.031,0.095,0.125,0.025,0.000,0.107,0.022,0.013,0.057,0.042,0.066,0.125,0.111,0.068,0.054,0.000,0.246,0.000
f_min.final_model.000.24.det_cont.csv,0.204,0.203,0.429,0.311,0.444,0.403,0.311,0.096,0.481,0.143,0.262,0.364,0.143,0.279,0.475,0.192,0.103,0.234,0.123,0.279,0.088
f_min.final_model.000.25.det_cont.csv,0.000,0.013,0.088,0.110,0.125,0.266,0.104,0.000,0.156,0.108,0.000,0.120,0.031,0.059,0.174,0.246,0.000,0.156,0.000,0.440,0.000
f_min.final_model.000.26.det_cont.csv,0.222,0.216,0.180,0.206,0.118,0.065,0.283,0.311,0.113,0.196,0.302,0.150,0.378,0.163,0.065,0.100,0.286,0.104,0.488,0.056,0.559
f_min.final_model.000.27.det_cont.csv,0.000,0.000,0.000,0.086,0.000,0.147,0.014,0.109,0.029,0.129,0.000,0.013,0.000,0.000,0.026,0.219,0.000,0.132,0.028,0.232,0.000
f_min.final_model.000.28.det_cont.csv,0.353,0.391,0.271,0.114,0.180,0.097,0.196,0.130,0.196,0.062,0.450,0.291,0.559,0.341,0.153,0.062,0.514,0.041,0.400,0.054,0.618
f_min.final_model.000.29.det_cont.csv,0.000,0.073,0.000,0.186,0.025,0.057,0.037,0.308,0.012,0.257,0.012,0.033,0.013,0.064,0.022,0.122,0.053,0.235,0.115,0.000,0.053
