 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.14.det_cont.csv,0.462,0.744,0.532,0.271,0.429,0.295,0.286,0.108,0.469,0.111,0.568,0.608,0.391,0.707,0.463,0.097,0.523,0.145,0.233,0.186,0.294
f_min.final_model.000.15.det_cont.csv,0.357,0.271,0.600,0.459,0.750,0.519,0.500,0.143,0.714,0.250,0.353,0.547,0.231,0.400,0.756,0.274,0.175,0.359,0.194,0.373,0.179
f_min.final_model.000.16.det_cont.csv,0.226,0.239,0.356,0.426,0.322,0.359,0.569,0.270,0.404,0.354,0.351,0.429,0.309,0.258,0.403,0.338,0.210,0.418,0.491,0.322,0.370
f_min.final_model.000.17.det_cont.csv,0.314,0.306,0.245,0.182,0.180,0.133,0.326,0.245,0.173,0.150,0.487,0.246,0.472,0.255,0.115,0.133,0.366,0.118,0.537,0.073,0.528
f_min.final_model.000.18.det_cont.csv,0.000,0.027,0.000,0.011,0.000,0.013,0.000,0.072,0.000,0.025,0.000,0.000,0.000,0.014,0.000,0.038,0.000,0.047,0.013,0.059,0.000
f_min.final_model.000.19.det_cont.csv,0.382,0.383,0.292,0.145,0.176,0.113,0.240,0.170,0.192,0.094,0.513,0.286,0.543,0.333,0.150,0.095,0.500,0.069,0.455,0.053,0.647
f_min.final_model.000.20.det_cont.csv,0.051,0.026,0.027,0.324,0.103,0.077,0.149,0.510,0.055,0.417,0.028,0.012,0.015,0.000,0.063,0.235,0.000,0.353,0.254,0.000,0.092
f_min.final_model.000.21.det_cont.csv,0.000,0.027,0.043,0.011,0.060,0.067,0.014,0.000,0.074,0.000,0.000,0.037,0.016,0.044,0.067,0.067,0.030,0.023,0.000,0.164,0.000
f_min.final_model.000.22.det_cont.csv,0.415,0.382,0.698,0.385,0.511,0.429,0.460,0.123,0.587,0.174,0.522,0.729,0.444,0.511,0.569,0.176,0.308,0.257,0.293,0.315,0.340
f_min.final_model.000.23.det_cont.csv,0.268,0.561,0.483,0.287,0.377,0.348,0.284,0.075,0.458,0.133,0.431,0.627,0.300,0.527,0.476,0.148,0.421,0.202,0.189,0.235,0.231
f_min.final_model.000.24.det_cont.csv,0.593,0.386,0.611,0.339,0.600,0.383,0.318,0.160,0.657,0.138,0.447,0.417,0.351,0.514,0.477,0.102,0.262,0.197,0.224,0.217,0.268
f_min.final_model.000.25.det_cont.csv,0.222,0.216,0.180,0.206,0.118,0.065,0.283,0.311,0.113,0.196,0.302,0.150,0.378,0.163,0.065,0.100,0.286,0.104,0.488,0.056,0.559
f_min.final_model.000.26.det_cont.csv,0.326,0.415,0.565,0.219,0.373,0.295,0.220,0.043,0.500,0.053,0.408,0.608,0.422,0.628,0.436,0.082,0.396,0.145,0.175,0.228,0.320
f_min.final_model.000.27.det_cont.csv,0.250,0.182,0.364,0.704,0.490,0.439,0.471,0.471,0.364,0.566,0.263,0.308,0.175,0.237,0.390,0.367,0.077,0.475,0.375,0.237,0.211
