 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.19.pdb,0.167,0.216,0.250,0.000,0.100,0.302,0.400,0.154,0.000,0.241,0.316,0.015,0.152,0.259,0.028,0.123,0.518,0.246,0.509,0.000,0.169,0.104,0.012,0.170,0.118
model.000.20.pdb,0.048,0.000,0.119,0.027,0.029,0.000,0.091,0.045,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.159,0.169,0.014,0.000,0.000,0.095,0.000,0.000,0.044
model.000.21.pdb,0.000,0.000,0.041,0.039,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.108,0.040,0.000,0.027,0.000,0.029,0.000,0.000,0.014
model.000.22.pdb,0.000,0.000,0.000,0.041,0.000,0.085,0.000,0.000,0.000,0.000,0.094,0.000,0.164,0.086,0.062,0.030,0.039,0.000,0.056,0.014,0.145,0.000,0.025,0.000,0.000
model.000.23.pdb,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.015,0.000,0.015,0.000,0.013,0.000,0.000,0.076,0.000,0.000,0.026,0.000,0.000
model.000.24.pdb,0.220,0.143,0.262,0.000,0.145,0.340,0.386,0.132,0.000,0.131,0.375,0.000,0.147,0.273,0.000,0.056,0.582,0.277,0.464,0.000,0.164,0.118,0.000,0.143,0.147
model.000.25.pdb,0.522,0.292,0.538,0.000,0.426,0.078,0.711,0.415,0.027,0.196,0.087,0.000,0.013,0.062,0.000,0.014,0.214,0.528,0.194,0.000,0.041,0.396,0.000,0.319,0.490
model.000.26.pdb,0.000,0.053,0.000,0.000,0.000,0.634,0.042,0.014,0.000,0.140,0.659,0.031,0.542,0.692,0.091,0.183,0.277,0.000,0.472,0.000,0.682,0.000,0.012,0.034,0.000
model.000.27.pdb,0.526,0.250,0.388,0.045,0.667,0.000,0.226,0.575,0.231,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.302,0.046,0.065,0.000,0.590,0.057,0.389,0.524
model.000.28.pdb,0.154,0.000,0.228,0.108,0.288,0.000,0.047,0.204,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.246,0.000,0.172,0.000,0.306,0.027,0.020,0.222
model.000.29.pdb,0.030,0.000,0.083,0.026,0.000,0.000,0.087,0.000,0.014,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.203,0.082,0.054,0.013,0.000,0.014,0.000,0.000,0.000
