 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.12.pdb,0.000,0.071,0.000,0.000,0.000,0.340,0.014,0.000,0.000,0.182,0.377,0.138,1.000,0.404,0.180,0.365,0.137,0.000,0.322,0.000,0.721,0.000,0.077,0.017,0.000
model.000.13.pdb,0.000,0.083,0.014,0.000,0.000,0.735,0.081,0.016,0.000,0.188,0.711,0.036,0.404,1.000,0.067,0.145,0.293,0.000,0.556,0.000,0.571,0.000,0.013,0.040,0.000
model.000.14.pdb,0.000,0.094,0.000,0.182,0.000,0.032,0.000,0.029,0.043,0.167,0.044,0.641,0.180,0.067,1.000,0.533,0.000,0.000,0.056,0.175,0.180,0.000,0.439,0.018,0.000
model.000.15.pdb,0.000,0.163,0.000,0.069,0.000,0.143,0.014,0.045,0.014,0.319,0.111,0.500,0.365,0.145,0.533,1.000,0.081,0.000,0.154,0.058,0.340,0.000,0.306,0.056,0.000
model.000.16.pdb,0.100,0.078,0.145,0.000,0.050,0.407,0.273,0.038,0.000,0.104,0.390,0.000,0.137,0.293,0.000,0.081,1.000,0.158,0.450,0.000,0.186,0.013,0.000,0.045,0.025
model.000.17.pdb,0.460,0.140,0.729,0.000,0.404,0.014,0.538,0.393,0.053,0.077,0.013,0.000,0.000,0.000,0.000,0.000,0.158,1.000,0.092,0.000,0.000,0.510,0.000,0.182,0.491
model.000.18.pdb,0.075,0.143,0.093,0.000,0.039,0.578,0.215,0.069,0.000,0.211,0.571,0.045,0.322,0.556,0.056,0.154,0.450,0.092,1.000,0.000,0.393,0.041,0.011,0.103,0.040
model.000.19.pdb,0.014,0.000,0.026,0.783,0.069,0.000,0.000,0.027,0.407,0.000,0.000,0.172,0.000,0.000,0.175,0.058,0.000,0.000,0.000,1.000,0.000,0.042,0.433,0.000,0.027
model.000.20.pdb,0.000,0.111,0.000,0.000,0.000,0.457,0.042,0.014,0.000,0.226,0.490,0.138,0.721,0.571,0.180,0.340,0.186,0.000,0.393,0.000,1.000,0.000,0.063,0.053,0.000
model.000.21.pdb,0.571,0.208,0.551,0.026,0.587,0.000,0.304,0.614,0.161,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.510,0.041,0.042,0.000,1.000,0.051,0.318,0.756
model.000.22.pdb,0.040,0.061,0.011,0.452,0.049,0.000,0.000,0.051,0.217,0.119,0.012,0.434,0.077,0.013,0.439,0.306,0.000,0.000,0.011,0.433,0.063,0.051,1.000,0.045,0.037
model.000.23.pdb,0.350,0.586,0.231,0.000,0.298,0.039,0.356,0.439,0.071,0.417,0.035,0.061,0.017,0.040,0.018,0.056,0.045,0.182,0.103,0.000,0.053,0.318,0.045,1.000,0.304
model.000.24.pdb,0.619,0.200,0.592,0.013,0.667,0.000,0.339,0.622,0.138,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.491,0.040,0.027,0.000,0.756,0.037,0.304,1.000
