 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.14.pdb,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.000,0.115,0.000,0.000,0.091,0.000,0.000,0.158,0.048,0.000,0.000,0.000,0.321,0.000,0.000,0.219,0.000,0.000
model.000.15.pdb,0.200,0.103,0.302,0.000,0.145,0.224,0.386,0.116,0.000,0.095,0.262,0.000,0.083,0.207,0.000,0.027,0.500,0.317,0.344,0.000,0.114,0.134,0.000,0.103,0.147
model.000.16.pdb,0.340,0.058,0.404,0.042,0.458,0.000,0.167,0.417,0.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.370,0.000,0.076,0.000,0.558,0.026,0.146,0.438
model.000.17.pdb,0.479,0.212,0.558,0.012,0.592,0.014,0.345,0.551,0.116,0.115,0.013,0.015,0.000,0.015,0.000,0.000,0.049,0.547,0.052,0.026,0.013,0.667,0.024,0.286,0.674
model.000.18.pdb,0.511,0.189,0.688,0.025,0.592,0.014,0.368,0.583,0.149,0.097,0.013,0.000,0.000,0.015,0.000,0.000,0.075,0.608,0.052,0.039,0.000,0.667,0.024,0.235,0.638
model.000.19.pdb,0.196,0.000,0.340,0.074,0.283,0.000,0.115,0.294,0.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.333,0.000,0.131,0.000,0.354,0.013,0.019,0.288
model.000.20.pdb,0.118,0.388,0.117,0.000,0.092,0.562,0.239,0.157,0.000,0.404,0.528,0.104,0.323,0.480,0.081,0.197,0.338,0.115,0.536,0.000,0.414,0.096,0.034,0.259,0.093
model.000.21.pdb,0.029,0.103,0.051,0.000,0.013,0.614,0.145,0.027,0.000,0.190,0.711,0.061,0.368,0.667,0.101,0.172,0.403,0.051,0.608,0.000,0.500,0.013,0.023,0.049,0.013
model.000.22.pdb,0.000,0.000,0.000,0.188,0.000,0.016,0.000,0.000,0.000,0.000,0.015,0.016,0.094,0.016,0.097,0.015,0.000,0.000,0.014,0.125,0.061,0.000,0.096,0.000,0.000
model.000.23.pdb,0.114,0.228,0.143,0.000,0.090,0.510,0.269,0.122,0.000,0.271,0.596,0.056,0.333,0.520,0.079,0.141,0.388,0.156,0.692,0.000,0.400,0.093,0.022,0.167,0.091
model.000.24.pdb,0.085,0.000,0.104,0.206,0.203,0.000,0.014,0.150,0.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.000,0.241,0.000,0.153,0.053,0.000,0.111
model.000.25.pdb,0.522,0.216,0.739,0.000,0.400,0.045,0.638,0.415,0.041,0.117,0.027,0.000,0.000,0.030,0.000,0.000,0.197,0.723,0.127,0.000,0.000,0.480,0.000,0.265,0.462
model.000.26.pdb,0.477,0.295,0.500,0.013,0.500,0.016,0.309,0.842,0.145,0.192,0.014,0.050,0.000,0.016,0.030,0.046,0.026,0.382,0.056,0.028,0.014,0.643,0.052,0.425,0.614
model.000.27.pdb,0.000,0.000,0.000,0.262,0.000,0.049,0.000,0.000,0.060,0.051,0.029,0.432,0.203,0.050,0.605,0.388,0.013,0.000,0.056,0.259,0.183,0.000,0.397,0.000,0.000
model.000.28.pdb,0.000,0.118,0.000,0.000,0.000,0.641,0.059,0.029,0.000,0.216,0.556,0.086,0.511,0.615,0.113,0.236,0.270,0.000,0.562,0.000,0.543,0.000,0.025,0.056,0.000
model.000.29.pdb,0.015,0.283,0.013,0.013,0.014,0.179,0.072,0.091,0.014,0.455,0.180,0.327,0.404,0.204,0.340,0.591,0.093,0.013,0.203,0.014,0.460,0.014,0.203,0.180,0.014
