 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb,model.000.25.pdb,model.000.26.pdb,model.000.27.pdb
model.000.20.pdb,0.531,0.127,0.261,0.000,0.415,0.000,0.489,0.150,0.689,0.321,0.000,0.246,0.237,0.000,0.197,0.000,0.000,0.000,0.000,0.315,0.000,0.000,0.207,0.259,0.327,0.167,0.000,0.151
model.000.21.pdb,0.000,0.000,0.000,0.310,0.000,0.525,0.000,0.016,0.000,0.000,0.105,0.014,0.000,0.063,0.042,0.300,0.370,0.153,0.226,0.000,0.742,0.488,0.000,0.000,0.000,0.000,0.697,0.000
model.000.22.pdb,0.053,0.000,0.348,0.067,0.068,0.029,0.104,0.460,0.111,0.560,0.043,0.053,0.540,0.000,0.000,0.104,0.000,0.013,0.014,0.596,0.000,0.000,0.000,0.055,0.000,0.000,0.016,0.000
model.000.23.pdb,0.462,0.575,0.093,0.000,0.490,0.000,0.479,0.000,0.351,0.056,0.000,0.069,0.014,0.000,0.143,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.690,0.542,0.400,0.684,0.000,0.590
model.000.24.pdb,0.000,0.000,0.000,0.231,0.000,0.346,0.000,0.043,0.000,0.000,0.469,0.000,0.000,0.310,0.012,0.345,0.756,0.540,0.644,0.000,0.260,0.698,0.000,0.000,0.000,0.000,0.250,0.000
model.000.25.pdb,0.029,0.000,0.000,0.357,0.000,0.312,0.000,0.158,0.043,0.145,0.016,0.217,0.167,0.000,0.267,0.196,0.066,0.029,0.015,0.079,0.217,0.100,0.000,0.000,0.048,0.000,0.289,0.000
model.000.26.pdb,0.086,0.212,0.093,0.000,0.206,0.000,0.145,0.000,0.041,0.000,0.095,0.000,0.000,0.304,0.000,0.000,0.030,0.057,0.044,0.014,0.000,0.000,0.246,0.298,0.029,0.164,0.000,0.216
model.000.27.pdb,0.339,0.610,0.016,0.000,0.386,0.000,0.321,0.000,0.250,0.013,0.000,0.081,0.013,0.013,0.137,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.542,0.375,0.327,0.763,0.000,0.667
model.000.28.pdb,0.600,0.389,0.224,0.000,0.630,0.000,0.729,0.065,0.589,0.192,0.000,0.156,0.132,0.012,0.165,0.000,0.000,0.000,0.000,0.183,0.000,0.000,0.509,0.509,0.344,0.434,0.000,0.396
model.000.29.pdb,0.000,0.000,0.000,0.093,0.000,0.204,0.000,0.000,0.000,0.000,0.340,0.000,0.000,0.365,0.013,0.150,0.523,0.412,0.468,0.000,0.208,0.545,0.000,0.000,0.000,0.000,0.200,0.000
