 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.10.pdb,0.000,0.000,0.000,0.054,0.000,0.121,0.000,0.000,0.000,0.000,0.145,0.000,0.263,0.143,0.077,0.062,0.025,0.000,0.086,0.028,0.220,0.000,0.038,0.000,0.000
model.000.11.pdb,0.150,0.000,0.113,0.446,0.246,0.000,0.013,0.156,0.562,0.000,0.000,0.047,0.000,0.000,0.043,0.000,0.000,0.081,0.000,0.510,0.000,0.197,0.250,0.034,0.154
model.000.12.pdb,0.000,0.071,0.000,0.000,0.000,0.634,0.071,0.014,0.000,0.161,0.738,0.065,0.480,0.650,0.091,0.203,0.317,0.013,0.529,0.000,0.609,0.000,0.012,0.034,0.000
model.000.13.pdb,0.014,0.226,0.012,0.000,0.013,0.532,0.096,0.068,0.000,0.346,0.560,0.183,0.436,0.543,0.167,0.288,0.275,0.024,0.482,0.000,0.549,0.013,0.072,0.121,0.013
model.000.14.pdb,0.060,0.000,0.038,0.537,0.130,0.000,0.000,0.070,0.510,0.000,0.000,0.232,0.000,0.000,0.172,0.104,0.000,0.025,0.000,0.646,0.000,0.087,0.426,0.000,0.069
model.000.15.pdb,0.356,0.082,0.392,0.058,0.511,0.000,0.193,0.467,0.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.358,0.014,0.113,0.000,0.548,0.013,0.152,0.457
model.000.16.pdb,0.145,0.260,0.174,0.000,0.099,0.489,0.345,0.134,0.000,0.259,0.520,0.000,0.185,0.408,0.000,0.057,0.458,0.171,0.588,0.000,0.242,0.103,0.000,0.212,0.100
model.000.17.pdb,0.015,0.000,0.068,0.025,0.013,0.046,0.041,0.000,0.042,0.000,0.042,0.000,0.014,0.031,0.000,0.000,0.217,0.096,0.013,0.027,0.014,0.043,0.000,0.000,0.014
model.000.18.pdb,0.366,0.091,0.294,0.062,0.575,0.000,0.105,0.386,0.319,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.000,0.103,0.000,0.463,0.075,0.171,0.409
model.000.19.pdb,0.188,0.021,0.175,0.150,0.362,0.000,0.032,0.240,0.465,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.000,0.226,0.000,0.271,0.043,0.065,0.212
model.000.20.pdb,0.030,0.304,0.040,0.000,0.027,0.426,0.136,0.090,0.000,0.444,0.490,0.200,0.396,0.404,0.161,0.315,0.297,0.039,0.500,0.000,0.451,0.029,0.077,0.154,0.028
model.000.21.pdb,0.333,0.040,0.458,0.014,0.396,0.000,0.196,0.413,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.420,0.000,0.030,0.000,0.561,0.013,0.106,0.435
model.000.22.pdb,0.000,0.000,0.000,0.013,0.000,0.167,0.000,0.000,0.000,0.000,0.169,0.000,0.111,0.170,0.000,0.000,0.129,0.000,0.104,0.000,0.111,0.000,0.000,0.000,0.000
model.000.23.pdb,0.000,0.000,0.000,0.638,0.043,0.000,0.000,0.000,0.315,0.000,0.000,0.105,0.000,0.000,0.131,0.046,0.000,0.000,0.000,0.622,0.000,0.000,0.286,0.000,0.000
model.000.24.pdb,0.105,0.000,0.197,0.136,0.207,0.000,0.045,0.172,0.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.213,0.000,0.164,0.000,0.241,0.026,0.000,0.169
model.000.25.pdb,0.000,0.000,0.000,0.766,0.013,0.000,0.000,0.000,0.242,0.000,0.000,0.190,0.000,0.000,0.190,0.088,0.000,0.000,0.000,0.646,0.000,0.014,0.475,0.000,0.000
model.000.26.pdb,0.000,0.000,0.000,0.100,0.000,0.016,0.000,0.000,0.000,0.000,0.029,0.000,0.044,0.016,0.045,0.000,0.026,0.000,0.014,0.043,0.029,0.000,0.025,0.000,0.000
model.000.27.pdb,0.512,0.188,0.630,0.013,0.532,0.000,0.333,0.591,0.127,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.583,0.027,0.028,0.000,0.769,0.013,0.267,0.651
model.000.28.pdb,0.000,0.000,0.000,0.116,0.000,0.016,0.000,0.000,0.000,0.000,0.014,0.033,0.092,0.016,0.113,0.046,0.013,0.000,0.014,0.058,0.076,0.000,0.066,0.000,0.000
model.000.29.pdb,0.000,0.000,0.000,0.123,0.000,0.017,0.000,0.000,0.000,0.000,0.015,0.000,0.031,0.017,0.048,0.000,0.027,0.000,0.014,0.062,0.015,0.000,0.055,0.000,0.000
