 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.13.det_cont.csv,0.444,0.400,0.763,0.333,0.477,0.396,0.367,0.098,0.595,0.154,0.600,0.638,0.513,0.512,0.480,0.121,0.378,0.206,0.327,0.275,0.386
f_min.final_model.000.14.det_cont.csv,0.240,0.176,0.400,0.424,0.415,0.400,0.604,0.222,0.481,0.328,0.298,0.403,0.255,0.230,0.424,0.424,0.161,0.415,0.411,0.415,0.246
f_min.final_model.000.15.det_cont.csv,0.447,0.780,0.400,0.176,0.308,0.203,0.186,0.094,0.346,0.068,0.489,0.481,0.409,0.619,0.328,0.041,0.585,0.090,0.241,0.115,0.333
f_min.final_model.000.16.det_cont.csv,0.457,0.769,0.320,0.137,0.255,0.141,0.179,0.100,0.269,0.057,0.465,0.462,0.450,0.600,0.259,0.028,0.694,0.066,0.259,0.085,0.429
f_min.final_model.000.17.det_cont.csv,0.178,0.183,0.133,0.250,0.158,0.087,0.308,0.417,0.115,0.267,0.300,0.147,0.304,0.138,0.087,0.154,0.212,0.186,0.489,0.048,0.442
f_min.final_model.000.18.det_cont.csv,0.317,0.263,0.533,0.433,0.595,0.583,0.302,0.131,0.643,0.283,0.320,0.436,0.245,0.396,0.551,0.267,0.164,0.355,0.224,0.314,0.167
f_min.final_model.000.19.det_cont.csv,0.293,0.203,0.236,0.371,0.269,0.154,0.417,0.511,0.214,0.382,0.275,0.200,0.250,0.138,0.210,0.271,0.189,0.361,0.556,0.100,0.292
f_min.final_model.000.20.det_cont.csv,0.000,0.000,0.000,0.132,0.000,0.152,0.000,0.113,0.030,0.185,0.000,0.000,0.000,0.000,0.013,0.267,0.000,0.151,0.060,0.196,0.000
f_min.final_model.000.21.det_cont.csv,0.484,0.422,0.386,0.164,0.229,0.153,0.271,0.151,0.271,0.095,0.611,0.365,0.767,0.405,0.214,0.046,0.474,0.070,0.465,0.093,0.774
f_min.final_model.000.22.det_cont.csv,0.000,0.000,0.014,0.115,0.030,0.242,0.029,0.094,0.061,0.164,0.000,0.039,0.000,0.015,0.085,0.283,0.000,0.181,0.043,0.308,0.000
f_min.final_model.000.23.det_cont.csv,0.340,0.558,0.368,0.173,0.267,0.197,0.164,0.083,0.322,0.062,0.339,0.397,0.250,0.434,0.328,0.049,0.404,0.069,0.159,0.101,0.200
f_min.final_model.000.24.det_cont.csv,0.594,0.568,0.610,0.297,0.391,0.304,0.294,0.158,0.435,0.121,0.703,0.617,0.450,0.684,0.404,0.106,0.419,0.157,0.333,0.143,0.395
f_min.final_model.000.25.det_cont.csv,0.138,0.105,0.246,0.661,0.362,0.375,0.473,0.558,0.306,0.648,0.164,0.247,0.074,0.129,0.333,0.419,0.027,0.684,0.361,0.215,0.136
f_min.final_model.000.26.det_cont.csv,0.020,0.015,0.048,0.242,0.105,0.286,0.121,0.161,0.121,0.327,0.016,0.071,0.000,0.000,0.161,0.440,0.000,0.270,0.136,0.286,0.000
f_min.final_model.000.27.det_cont.csv,0.174,0.125,0.131,0.365,0.136,0.118,0.278,0.683,0.095,0.453,0.179,0.097,0.173,0.081,0.086,0.246,0.123,0.333,0.449,0.031,0.286
f_min.final_model.000.28.det_cont.csv,0.394,0.362,0.298,0.164,0.204,0.115,0.298,0.220,0.196,0.131,0.526,0.291,0.514,0.311,0.153,0.133,0.436,0.118,0.537,0.073,0.571
f_min.final_model.000.29.det_cont.csv,0.255,0.203,0.480,0.542,0.532,0.446,0.644,0.298,0.542,0.323,0.315,0.424,0.245,0.263,0.500,0.328,0.150,0.413,0.357,0.333,0.259
