 ,f_min.final_model.000.00.det_cont.csv,f_min.final_model.000.01.det_cont.csv,f_min.final_model.000.02.det_cont.csv,f_min.final_model.000.03.det_cont.csv,f_min.final_model.000.04.det_cont.csv,f_min.final_model.000.05.det_cont.csv,f_min.final_model.000.06.det_cont.csv,f_min.final_model.000.07.det_cont.csv,f_min.final_model.000.08.det_cont.csv,f_min.final_model.000.09.det_cont.csv,f_min.final_model.000.10.det_cont.csv,f_min.final_model.000.11.det_cont.csv,f_min.final_model.000.12.det_cont.csv,f_min.final_model.000.13.det_cont.csv,f_min.final_model.000.14.det_cont.csv,f_min.final_model.000.15.det_cont.csv,f_min.final_model.000.16.det_cont.csv,f_min.final_model.000.17.det_cont.csv,f_min.final_model.000.18.det_cont.csv,f_min.final_model.000.19.det_cont.csv,f_min.final_model.000.20.det_cont.csv
f_min.final_model.000.16.det_cont.csv,0.208,0.169,0.377,0.475,0.365,0.778,0.352,0.159,0.490,0.306,0.250,0.383,0.140,0.268,0.481,0.509,0.062,0.443,0.190,0.511,0.081
f_min.final_model.000.17.det_cont.csv,0.058,0.043,0.167,0.359,0.259,0.540,0.273,0.148,0.296,0.368,0.063,0.231,0.033,0.079,0.375,0.604,0.000,0.417,0.161,0.545,0.000
f_min.final_model.000.18.det_cont.csv,0.400,0.558,0.422,0.141,0.265,0.183,0.143,0.049,0.333,0.029,0.564,0.480,0.514,0.550,0.268,0.014,0.553,0.053,0.245,0.088,0.450
f_min.final_model.000.19.det_cont.csv,0.429,0.283,0.444,0.491,0.537,0.309,0.667,0.354,0.444,0.327,0.476,0.339,0.295,0.286,0.385,0.263,0.200,0.290,0.457,0.189,0.341
f_min.final_model.000.20.det_cont.csv,0.075,0.154,0.200,0.141,0.228,0.274,0.125,0.000,0.286,0.067,0.095,0.242,0.103,0.207,0.339,0.162,0.155,0.145,0.014,0.321,0.048
f_min.final_model.000.21.det_cont.csv,0.000,0.107,0.000,0.010,0.000,0.000,0.000,0.026,0.000,0.011,0.013,0.034,0.014,0.068,0.012,0.012,0.071,0.000,0.012,0.026,0.014
f_min.final_model.000.22.det_cont.csv,0.000,0.000,0.066,0.108,0.086,0.263,0.102,0.016,0.140,0.123,0.000,0.103,0.018,0.050,0.143,0.309,0.000,0.176,0.015,0.465,0.000
f_min.final_model.000.23.det_cont.csv,0.000,0.000,0.127,0.254,0.154,0.500,0.170,0.069,0.240,0.250,0.017,0.180,0.038,0.071,0.232,0.500,0.000,0.328,0.067,0.579,0.000
f_min.final_model.000.24.det_cont.csv,0.229,0.167,0.254,0.444,0.286,0.473,0.451,0.370,0.298,0.464,0.268,0.235,0.158,0.125,0.306,0.620,0.113,0.413,0.407,0.358,0.172
f_min.final_model.000.25.det_cont.csv,0.692,0.442,0.553,0.333,0.541,0.320,0.405,0.204,0.553,0.175,0.600,0.408,0.342,0.462,0.467,0.158,0.286,0.194,0.326,0.163,0.325
f_min.final_model.000.26.det_cont.csv,0.000,0.000,0.016,0.081,0.034,0.207,0.068,0.016,0.086,0.109,0.000,0.058,0.000,0.017,0.094,0.296,0.000,0.130,0.016,0.356,0.000
f_min.final_model.000.27.det_cont.csv,0.000,0.045,0.047,0.012,0.066,0.042,0.000,0.000,0.063,0.000,0.000,0.027,0.017,0.048,0.057,0.042,0.051,0.012,0.000,0.140,0.000
f_min.final_model.000.28.det_cont.csv,0.279,0.177,0.273,0.554,0.308,0.242,0.556,0.522,0.273,0.529,0.314,0.231,0.192,0.153,0.262,0.400,0.140,0.417,0.565,0.153,0.231
f_min.final_model.000.29.det_cont.csv,0.000,0.000,0.000,0.116,0.018,0.218,0.034,0.091,0.053,0.153,0.000,0.029,0.000,0.000,0.047,0.314,0.000,0.154,0.051,0.261,0.000
