 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.10.pdb,0.274,0.203,0.021,0.400,0.058,0.438,0.000,0.422,0.200,0.012,0.403,0.020,0.113,0.435,0.000,0.381,0.418,0.000,0.467,0.359,0.020,0.013,0.250,0.259,0.191
model.000.11.pdb,0.643,0.098,0.178,0.110,0.033,0.123,0.035,0.421,0.590,0.156,0.375,0.107,0.000,0.274,0.037,0.351,0.097,0.068,0.444,0.426,0.023,0.000,0.121,0.432,0.127
model.000.12.pdb,0.130,0.000,0.439,0.111,0.000,0.167,0.590,0.000,0.000,0.297,0.000,0.360,0.000,0.000,0.559,0.000,0.085,0.275,0.000,0.012,0.456,0.500,0.213,0.000,0.000
model.000.13.pdb,0.200,0.188,0.022,0.429,0.059,0.379,0.021,0.324,0.145,0.012,0.303,0.020,0.133,0.375,0.022,0.284,0.453,0.023,0.338,0.246,0.000,0.000,0.175,0.180,0.159
model.000.14.pdb,0.043,0.033,0.481,0.058,0.071,0.058,0.526,0.019,0.000,0.397,0.029,0.635,0.061,0.029,0.521,0.029,0.011,0.427,0.019,0.040,0.662,0.276,0.033,0.011,0.042
model.000.15.pdb,0.015,0.117,0.062,0.328,0.086,0.281,0.086,0.066,0.016,0.057,0.069,0.069,0.157,0.129,0.051,0.069,0.333,0.053,0.068,0.041,0.098,0.062,0.121,0.016,0.092
model.000.16.pdb,0.000,0.000,0.431,0.114,0.000,0.039,0.466,0.000,0.000,0.224,0.000,0.324,0.000,0.000,0.481,0.000,0.000,0.267,0.000,0.000,0.426,0.500,0.033,0.000,0.000
model.000.17.pdb,0.164,0.012,0.672,0.043,0.000,0.077,0.552,0.054,0.040,0.636,0.057,0.580,0.000,0.044,0.547,0.045,0.012,0.397,0.044,0.081,0.472,0.232,0.066,0.013,0.000
model.000.18.pdb,0.204,0.260,0.000,0.283,0.054,0.258,0.012,0.510,0.234,0.014,0.490,0.000,0.122,0.500,0.013,0.431,0.362,0.000,0.510,0.431,0.000,0.000,0.151,0.372,0.241
model.000.19.pdb,0.000,0.426,0.062,0.013,0.750,0.000,0.048,0.209,0.088,0.088,0.203,0.192,0.439,0.215,0.051,0.242,0.015,0.295,0.147,0.167,0.139,0.000,0.000,0.145,0.479
model.000.20.pdb,0.083,0.013,0.044,0.579,0.000,0.542,0.141,0.047,0.014,0.012,0.024,0.020,0.046,0.086,0.095,0.024,0.453,0.011,0.048,0.012,0.088,0.200,0.370,0.014,0.026
model.000.21.pdb,0.136,0.123,0.333,0.000,0.232,0.000,0.190,0.208,0.193,0.429,0.221,0.356,0.066,0.164,0.236,0.186,0.000,0.491,0.167,0.258,0.215,0.000,0.000,0.169,0.167
model.000.22.pdb,0.000,0.205,0.029,0.015,0.256,0.000,0.028,0.000,0.000,0.034,0.000,0.097,0.364,0.000,0.000,0.033,0.000,0.048,0.000,0.000,0.134,0.000,0.000,0.000,0.163
model.000.23.pdb,0.096,0.023,0.543,0.096,0.000,0.095,0.642,0.040,0.024,0.412,0.031,0.456,0.013,0.041,0.694,0.031,0.047,0.365,0.031,0.053,0.474,0.379,0.048,0.024,0.011
model.000.24.pdb,0.075,0.429,0.000,0.217,0.200,0.214,0.011,0.474,0.161,0.013,0.455,0.000,0.319,0.608,0.012,0.481,0.315,0.012,0.446,0.379,0.000,0.000,0.046,0.320,0.345
model.000.25.pdb,0.053,0.013,0.516,0.070,0.000,0.057,0.650,0.011,0.000,0.466,0.011,0.444,0.000,0.011,0.709,0.011,0.000,0.452,0.000,0.023,0.507,0.356,0.056,0.014,0.000
model.000.26.pdb,0.558,0.016,0.273,0.097,0.017,0.127,0.075,0.274,0.429,0.263,0.250,0.182,0.000,0.149,0.080,0.210,0.082,0.132,0.288,0.271,0.073,0.000,0.105,0.271,0.062
model.000.27.pdb,0.426,0.121,0.105,0.113,0.000,0.096,0.024,0.519,0.538,0.125,0.500,0.046,0.000,0.375,0.025,0.442,0.138,0.027,0.583,0.562,0.023,0.000,0.068,0.488,0.150
model.000.28.pdb,0.161,0.400,0.035,0.120,0.158,0.133,0.034,0.615,0.354,0.041,0.667,0.032,0.148,0.608,0.049,0.633,0.164,0.079,0.653,0.569,0.011,0.000,0.030,0.435,0.370
model.000.29.pdb,0.283,0.339,0.080,0.127,0.092,0.125,0.011,0.816,0.556,0.093,0.809,0.031,0.098,0.642,0.022,0.735,0.169,0.061,0.830,0.848,0.010,0.000,0.058,0.614,0.339
