 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.19.pdb,0.000,0.618,0.000,0.078,0.417,0.077,0.000,0.232,0.042,0.000,0.226,0.013,0.679,0.264,0.000,0.300,0.120,0.015,0.222,0.161,0.013,0.000,0.000,0.109,0.513
model.000.20.pdb,0.217,0.145,0.011,0.518,0.031,0.458,0.011,0.328,0.158,0.000,0.306,0.010,0.105,0.383,0.012,0.266,0.532,0.012,0.344,0.246,0.022,0.028,0.211,0.175,0.136
model.000.21.pdb,0.027,0.123,0.057,0.338,0.113,0.275,0.080,0.087,0.015,0.053,0.078,0.065,0.204,0.149,0.047,0.092,0.321,0.049,0.091,0.037,0.103,0.042,0.127,0.030,0.100
model.000.22.pdb,0.139,0.013,0.737,0.022,0.027,0.056,0.554,0.056,0.042,0.642,0.071,0.631,0.000,0.057,0.574,0.059,0.000,0.484,0.034,0.084,0.451,0.242,0.040,0.027,0.012
model.000.23.pdb,0.000,0.340,0.071,0.000,0.634,0.000,0.057,0.149,0.082,0.099,0.141,0.244,0.370,0.153,0.061,0.174,0.000,0.297,0.093,0.141,0.221,0.000,0.000,0.117,0.364
model.000.24.pdb,0.512,0.017,0.274,0.072,0.018,0.087,0.066,0.233,0.375,0.264,0.207,0.178,0.000,0.108,0.070,0.186,0.052,0.125,0.224,0.228,0.064,0.000,0.115,0.217,0.067
model.000.25.pdb,0.127,0.000,0.536,0.110,0.012,0.133,0.688,0.000,0.000,0.343,0.000,0.449,0.000,0.000,0.689,0.000,0.048,0.338,0.000,0.010,0.486,0.508,0.149,0.000,0.011
model.000.26.pdb,0.269,0.032,0.509,0.000,0.017,0.039,0.214,0.147,0.157,0.578,0.138,0.364,0.000,0.086,0.250,0.104,0.000,0.246,0.103,0.175,0.176,0.082,0.051,0.111,0.046
model.000.27.pdb,0.233,0.286,0.058,0.194,0.097,0.192,0.011,0.720,0.489,0.068,0.673,0.032,0.067,0.714,0.023,0.640,0.259,0.063,0.694,0.708,0.000,0.000,0.094,0.581,0.288
model.000.28.pdb,0.750,0.000,0.176,0.224,0.000,0.239,0.085,0.206,0.340,0.136,0.164,0.093,0.000,0.096,0.091,0.164,0.190,0.013,0.234,0.200,0.083,0.045,0.347,0.185,0.043
model.000.29.pdb,0.300,0.189,0.108,0.041,0.093,0.054,0.012,0.540,0.611,0.129,0.521,0.047,0.000,0.415,0.026,0.521,0.049,0.103,0.510,0.622,0.000,0.000,0.017,0.553,0.175
