 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.13.pdb,0.575,0.034,0.231,0.056,0.000,0.070,0.051,0.230,0.366,0.214,0.203,0.145,0.000,0.123,0.055,0.183,0.033,0.090,0.286,0.246,0.037,0.000,0.093,0.188,0.083
model.000.14.pdb,0.043,0.543,0.071,0.024,0.367,0.024,0.070,0.441,0.200,0.130,0.473,0.128,0.235,0.482,0.074,0.528,0.043,0.203,0.367,0.446,0.080,0.000,0.000,0.340,0.562
model.000.15.pdb,0.000,0.000,0.279,0.206,0.000,0.153,0.413,0.000,0.000,0.136,0.000,0.205,0.000,0.000,0.424,0.000,0.030,0.159,0.000,0.000,0.282,0.591,0.158,0.000,0.000
model.000.16.pdb,0.025,0.000,0.380,0.120,0.027,0.106,0.449,0.000,0.000,0.229,0.000,0.382,0.014,0.000,0.418,0.000,0.067,0.230,0.000,0.000,0.522,0.397,0.069,0.000,0.012
model.000.17.pdb,0.000,0.123,0.122,0.279,0.062,0.222,0.133,0.101,0.015,0.096,0.092,0.112,0.161,0.164,0.099,0.092,0.276,0.104,0.105,0.051,0.157,0.103,0.060,0.015,0.116
model.000.18.pdb,0.000,0.690,0.047,0.037,0.634,0.036,0.011,0.349,0.138,0.040,0.350,0.128,0.465,0.361,0.012,0.397,0.059,0.203,0.302,0.286,0.093,0.000,0.000,0.241,0.705
model.000.19.pdb,0.000,0.052,0.351,0.056,0.100,0.055,0.417,0.022,0.000,0.333,0.022,0.574,0.074,0.022,0.386,0.022,0.000,0.431,0.011,0.034,0.552,0.221,0.013,0.027,0.062
model.000.20.pdb,0.000,0.326,0.013,0.000,0.541,0.000,0.025,0.071,0.018,0.030,0.060,0.176,0.514,0.090,0.013,0.109,0.000,0.123,0.059,0.044,0.167,0.000,0.000,0.056,0.354
model.000.21.pdb,0.242,0.056,0.469,0.000,0.092,0.034,0.247,0.187,0.167,0.519,0.181,0.403,0.000,0.145,0.282,0.164,0.000,0.403,0.147,0.232,0.210,0.069,0.028,0.127,0.097
model.000.22.pdb,0.190,0.217,0.000,0.426,0.150,0.397,0.000,0.279,0.133,0.000,0.239,0.010,0.226,0.328,0.000,0.277,0.510,0.000,0.273,0.186,0.011,0.014,0.203,0.131,0.203
model.000.23.pdb,0.000,0.465,0.012,0.041,0.372,0.040,0.012,0.167,0.036,0.014,0.159,0.072,0.667,0.190,0.000,0.217,0.085,0.042,0.156,0.106,0.075,0.000,0.000,0.073,0.396
model.000.24.pdb,0.352,0.268,0.059,0.133,0.063,0.132,0.011,0.700,0.571,0.068,0.688,0.010,0.068,0.537,0.012,0.620,0.180,0.025,0.783,0.723,0.000,0.000,0.062,0.558,0.293
model.000.25.pdb,0.030,0.784,0.012,0.067,0.476,0.080,0.012,0.404,0.151,0.014,0.434,0.022,0.450,0.418,0.012,0.490,0.117,0.068,0.375,0.333,0.011,0.000,0.016,0.319,0.591
model.000.26.pdb,0.111,0.013,0.492,0.095,0.014,0.148,0.597,0.011,0.000,0.371,0.023,0.444,0.000,0.011,0.621,0.011,0.082,0.364,0.000,0.023,0.485,0.404,0.169,0.014,0.012
model.000.27.pdb,0.234,0.041,0.055,0.655,0.000,0.673,0.054,0.138,0.091,0.037,0.115,0.051,0.030,0.171,0.057,0.087,0.560,0.000,0.158,0.101,0.064,0.039,0.442,0.058,0.052
model.000.28.pdb,0.000,0.231,0.037,0.200,0.200,0.145,0.049,0.114,0.000,0.029,0.088,0.071,0.333,0.188,0.026,0.138,0.226,0.041,0.103,0.042,0.048,0.031,0.016,0.017,0.193
model.000.29.pdb,0.000,0.240,0.052,0.152,0.208,0.116,0.064,0.070,0.018,0.045,0.075,0.073,0.385,0.104,0.026,0.108,0.167,0.057,0.074,0.029,0.076,0.032,0.000,0.000,0.179
