 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.10.pdb,0.358,0.228,0.072,0.120,0.082,0.104,0.011,0.680,0.625,0.085,0.667,0.021,0.051,0.519,0.012,0.600,0.127,0.038,0.723,0.739,0.000,0.000,0.079,0.650,0.233
model.000.11.pdb,0.090,0.025,0.645,0.054,0.013,0.101,0.600,0.032,0.000,0.452,0.045,0.535,0.000,0.033,0.707,0.033,0.012,0.439,0.011,0.045,0.514,0.349,0.080,0.026,0.012
model.000.12.pdb,0.000,0.538,0.000,0.138,0.366,0.119,0.000,0.213,0.038,0.000,0.207,0.012,0.625,0.309,0.000,0.273,0.196,0.014,0.203,0.148,0.012,0.000,0.018,0.098,0.455
model.000.13.pdb,0.222,0.389,0.106,0.047,0.224,0.059,0.021,0.745,0.458,0.108,0.700,0.052,0.136,0.611,0.034,0.667,0.086,0.115,0.654,0.735,0.010,0.000,0.014,0.511,0.436
model.000.14.pdb,0.000,0.595,0.000,0.074,0.447,0.072,0.013,0.217,0.038,0.015,0.211,0.062,0.645,0.246,0.000,0.278,0.111,0.044,0.207,0.150,0.051,0.000,0.000,0.100,0.500
model.000.15.pdb,0.081,0.011,0.549,0.094,0.012,0.071,0.672,0.019,0.024,0.463,0.031,0.481,0.000,0.030,0.646,0.031,0.045,0.411,0.020,0.041,0.541,0.348,0.047,0.012,0.011
model.000.16.pdb,0.488,0.016,0.286,0.086,0.018,0.100,0.078,0.226,0.357,0.278,0.200,0.189,0.000,0.104,0.083,0.180,0.050,0.138,0.217,0.220,0.076,0.000,0.111,0.208,0.065
model.000.17.pdb,0.206,0.321,0.033,0.205,0.129,0.187,0.011,0.692,0.380,0.038,0.714,0.020,0.119,0.720,0.023,0.647,0.250,0.049,0.700,0.647,0.000,0.000,0.091,0.522,0.345
model.000.18.pdb,0.000,0.072,0.148,0.128,0.148,0.085,0.188,0.000,0.000,0.141,0.000,0.266,0.179,0.024,0.139,0.000,0.071,0.211,0.000,0.000,0.329,0.086,0.043,0.000,0.068
model.000.19.pdb,0.263,0.167,0.023,0.424,0.048,0.466,0.000,0.355,0.161,0.013,0.333,0.021,0.088,0.344,0.000,0.290,0.449,0.000,0.373,0.270,0.011,0.014,0.259,0.200,0.156
model.000.20.pdb,0.000,0.346,0.072,0.000,0.692,0.000,0.058,0.151,0.083,0.100,0.143,0.231,0.378,0.155,0.062,0.176,0.000,0.302,0.095,0.143,0.208,0.000,0.000,0.119,0.370
model.000.21.pdb,0.015,0.718,0.036,0.066,0.500,0.079,0.000,0.397,0.192,0.028,0.426,0.057,0.439,0.436,0.000,0.481,0.115,0.113,0.368,0.328,0.023,0.000,0.000,0.312,0.614
model.000.22.pdb,0.017,0.000,0.130,0.327,0.000,0.194,0.194,0.000,0.000,0.082,0.000,0.076,0.000,0.014,0.172,0.000,0.176,0.092,0.000,0.000,0.155,0.245,0.163,0.000,0.000
model.000.23.pdb,0.000,0.048,0.133,0.290,0.033,0.191,0.176,0.013,0.000,0.090,0.013,0.070,0.115,0.054,0.139,0.013,0.196,0.083,0.013,0.000,0.156,0.214,0.067,0.000,0.029
model.000.24.pdb,0.022,0.125,0.416,0.010,0.229,0.010,0.388,0.106,0.062,0.426,0.124,0.706,0.079,0.121,0.395,0.111,0.000,0.729,0.074,0.136,0.527,0.165,0.011,0.103,0.146
model.000.25.pdb,0.164,0.012,0.700,0.043,0.026,0.077,0.507,0.054,0.040,0.636,0.069,0.603,0.000,0.056,0.523,0.057,0.000,0.484,0.033,0.081,0.432,0.214,0.066,0.026,0.012
model.000.26.pdb,0.091,0.556,0.035,0.120,0.347,0.133,0.000,0.556,0.300,0.027,0.538,0.055,0.319,0.577,0.000,0.600,0.164,0.079,0.528,0.455,0.011,0.000,0.000,0.435,0.609
model.000.27.pdb,0.000,0.404,0.090,0.000,0.676,0.000,0.061,0.194,0.109,0.123,0.188,0.211,0.415,0.200,0.079,0.226,0.000,0.322,0.132,0.188,0.156,0.000,0.000,0.170,0.458
model.000.28.pdb,0.213,0.143,0.022,0.483,0.046,0.426,0.033,0.303,0.155,0.013,0.281,0.021,0.123,0.355,0.023,0.262,0.490,0.024,0.317,0.224,0.011,0.014,0.167,0.153,0.134
model.000.29.pdb,0.013,0.027,0.371,0.034,0.123,0.034,0.463,0.000,0.000,0.273,0.000,0.585,0.078,0.011,0.431,0.000,0.000,0.435,0.000,0.012,0.695,0.317,0.027,0.000,0.080
