 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.18.pdb,0.548,0.016,0.281,0.085,0.017,0.114,0.077,0.262,0.415,0.273,0.237,0.187,0.000,0.136,0.082,0.217,0.067,0.136,0.254,0.259,0.075,0.000,0.109,0.255,0.063
model.000.19.pdb,0.217,0.164,0.011,0.466,0.031,0.433,0.011,0.349,0.158,0.000,0.350,0.010,0.086,0.431,0.012,0.306,0.500,0.012,0.390,0.286,0.011,0.014,0.232,0.196,0.154
model.000.20.pdb,0.000,0.218,0.075,0.110,0.189,0.093,0.086,0.080,0.016,0.088,0.069,0.134,0.311,0.113,0.064,0.116,0.097,0.082,0.068,0.027,0.139,0.062,0.016,0.000,0.164
model.000.21.pdb,0.000,0.061,0.127,0.200,0.082,0.118,0.167,0.000,0.000,0.085,0.000,0.116,0.127,0.038,0.132,0.013,0.109,0.079,0.000,0.000,0.192,0.161,0.030,0.000,0.028
model.000.22.pdb,0.014,0.775,0.047,0.024,0.595,0.024,0.022,0.393,0.158,0.068,0.397,0.102,0.432,0.407,0.024,0.446,0.043,0.169,0.302,0.350,0.056,0.000,0.000,0.288,0.667
model.000.23.pdb,0.016,0.000,0.129,0.321,0.000,0.210,0.174,0.000,0.000,0.081,0.000,0.089,0.040,0.059,0.152,0.000,0.220,0.091,0.000,0.000,0.153,0.216,0.115,0.000,0.000
model.000.24.pdb,0.014,0.115,0.074,0.323,0.085,0.277,0.099,0.065,0.016,0.056,0.068,0.080,0.154,0.127,0.063,0.068,0.327,0.067,0.068,0.040,0.110,0.061,0.119,0.016,0.091
model.000.25.pdb,0.222,0.136,0.056,0.459,0.029,0.475,0.032,0.309,0.148,0.025,0.288,0.052,0.098,0.359,0.034,0.250,0.490,0.036,0.323,0.232,0.021,0.027,0.197,0.164,0.129
model.000.26.pdb,0.110,0.042,0.494,0.108,0.022,0.107,0.644,0.056,0.022,0.377,0.058,0.453,0.011,0.078,0.620,0.058,0.053,0.354,0.058,0.079,0.470,0.403,0.078,0.033,0.040
model.000.27.pdb,0.087,0.622,0.034,0.115,0.380,0.128,0.011,0.554,0.283,0.039,0.566,0.065,0.354,0.574,0.011,0.627,0.156,0.090,0.500,0.482,0.021,0.000,0.014,0.468,0.604
model.000.28.pdb,0.147,0.012,0.689,0.043,0.026,0.076,0.567,0.043,0.039,0.596,0.056,0.594,0.000,0.032,0.538,0.033,0.012,0.433,0.044,0.068,0.507,0.246,0.051,0.013,0.023
model.000.29.pdb,0.095,0.011,0.580,0.072,0.024,0.117,0.708,0.020,0.000,0.426,0.042,0.506,0.000,0.030,0.738,0.031,0.034,0.417,0.010,0.042,0.548,0.438,0.128,0.012,0.022
