 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.15.pdb,0.000,0.526,0.000,0.108,0.421,0.106,0.000,0.200,0.039,0.000,0.193,0.024,0.667,0.273,0.000,0.259,0.180,0.014,0.190,0.133,0.013,0.000,0.000,0.102,0.442
model.000.16.pdb,0.524,0.016,0.286,0.086,0.018,0.100,0.078,0.246,0.390,0.278,0.220,0.189,0.000,0.121,0.083,0.200,0.050,0.138,0.237,0.241,0.076,0.000,0.111,0.234,0.065
model.000.17.pdb,0.242,0.364,0.106,0.060,0.203,0.059,0.021,0.745,0.489,0.108,0.735,0.052,0.117,0.611,0.034,0.667,0.101,0.115,0.686,0.771,0.010,0.000,0.028,0.543,0.411
model.000.18.pdb,0.241,0.094,0.000,0.647,0.031,0.635,0.011,0.235,0.140,0.000,0.212,0.000,0.088,0.281,0.024,0.194,0.690,0.000,0.246,0.159,0.033,0.029,0.360,0.119,0.104
model.000.19.pdb,0.155,0.569,0.042,0.093,0.407,0.092,0.010,0.649,0.364,0.036,0.667,0.060,0.286,0.586,0.011,0.667,0.125,0.122,0.569,0.607,0.030,0.000,0.026,0.551,0.615
model.000.20.pdb,0.133,0.025,0.672,0.043,0.013,0.077,0.576,0.043,0.026,0.579,0.057,0.580,0.000,0.044,0.547,0.045,0.012,0.418,0.044,0.069,0.493,0.250,0.052,0.026,0.012
model.000.21.pdb,0.095,0.023,0.535,0.095,0.012,0.082,0.657,0.040,0.024,0.406,0.031,0.468,0.012,0.052,0.683,0.031,0.034,0.378,0.031,0.053,0.468,0.394,0.035,0.024,0.022
model.000.22.pdb,0.135,0.000,0.507,0.091,0.000,0.198,0.585,0.000,0.000,0.309,0.000,0.385,0.000,0.000,0.581,0.000,0.051,0.253,0.000,0.011,0.400,0.556,0.194,0.000,0.000
model.000.23.pdb,0.101,0.000,0.022,0.600,0.000,0.561,0.105,0.048,0.015,0.013,0.024,0.010,0.031,0.089,0.071,0.012,0.471,0.012,0.049,0.024,0.066,0.152,0.412,0.014,0.013
model.000.24.pdb,0.000,0.211,0.100,0.107,0.182,0.091,0.111,0.078,0.016,0.101,0.068,0.159,0.298,0.110,0.090,0.113,0.094,0.110,0.067,0.026,0.165,0.076,0.015,0.000,0.159
model.000.25.pdb,0.238,0.357,0.080,0.098,0.161,0.096,0.010,0.800,0.511,0.092,0.792,0.041,0.133,0.725,0.022,0.755,0.132,0.073,0.776,0.755,0.010,0.000,0.028,0.600,0.356
model.000.26.pdb,0.283,0.179,0.104,0.067,0.088,0.080,0.012,0.600,0.564,0.123,0.583,0.045,0.000,0.472,0.025,0.520,0.081,0.099,0.571,0.689,0.000,0.000,0.016,0.550,0.186
model.000.27.pdb,0.015,0.117,0.075,0.306,0.086,0.262,0.100,0.052,0.016,0.057,0.055,0.081,0.180,0.113,0.064,0.069,0.308,0.068,0.054,0.027,0.111,0.062,0.121,0.016,0.092
model.000.28.pdb,0.047,0.074,0.452,0.052,0.153,0.074,0.421,0.098,0.051,0.446,0.102,0.569,0.026,0.100,0.431,0.078,0.011,0.650,0.054,0.115,0.447,0.187,0.037,0.078,0.096
model.000.29.pdb,0.000,0.164,0.098,0.181,0.175,0.132,0.150,0.049,0.000,0.099,0.038,0.128,0.260,0.092,0.101,0.080,0.143,0.078,0.038,0.000,0.133,0.058,0.045,0.000,0.119
