 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.18.pdb,0.000,0.222,0.024,0.231,0.216,0.174,0.048,0.067,0.000,0.028,0.056,0.045,0.349,0.130,0.012,0.101,0.196,0.026,0.055,0.013,0.047,0.000,0.067,0.000,0.167
model.000.19.pdb,0.000,0.227,0.028,0.079,0.190,0.062,0.027,0.079,0.021,0.034,0.085,0.053,0.353,0.119,0.000,0.123,0.122,0.031,0.083,0.032,0.041,0.000,0.000,0.000,0.160
model.000.20.pdb,0.211,0.098,0.012,0.588,0.033,0.547,0.023,0.246,0.148,0.000,0.222,0.011,0.113,0.295,0.025,0.203,0.619,0.013,0.258,0.167,0.034,0.030,0.275,0.125,0.109
model.000.21.pdb,0.266,0.362,0.114,0.107,0.172,0.106,0.020,0.755,0.480,0.117,0.745,0.061,0.127,0.685,0.033,0.712,0.143,0.096,0.731,0.712,0.020,0.000,0.027,0.562,0.383
model.000.22.pdb,0.264,0.083,0.012,0.519,0.034,0.538,0.000,0.254,0.176,0.014,0.230,0.011,0.075,0.283,0.000,0.210,0.571,0.000,0.267,0.172,0.000,0.000,0.260,0.151,0.095
model.000.23.pdb,0.013,0.027,0.433,0.022,0.106,0.034,0.463,0.000,0.000,0.355,0.000,0.609,0.062,0.000,0.431,0.000,0.013,0.413,0.000,0.000,0.695,0.295,0.042,0.000,0.066
model.000.24.pdb,0.197,0.078,0.041,0.617,0.013,0.661,0.061,0.212,0.114,0.023,0.192,0.038,0.056,0.250,0.053,0.163,0.615,0.022,0.221,0.163,0.029,0.090,0.397,0.113,0.074
model.000.25.pdb,0.000,0.386,0.039,0.000,0.781,0.000,0.025,0.172,0.098,0.062,0.164,0.160,0.432,0.177,0.041,0.203,0.000,0.281,0.108,0.145,0.120,0.000,0.000,0.140,0.444
model.000.26.pdb,0.180,0.489,0.035,0.077,0.222,0.090,0.022,0.714,0.444,0.055,0.702,0.032,0.192,0.640,0.024,0.818,0.109,0.051,0.653,0.667,0.011,0.000,0.015,0.650,0.480
model.000.27.pdb,0.140,0.122,0.000,0.327,0.041,0.296,0.000,0.327,0.220,0.000,0.300,0.000,0.146,0.367,0.000,0.275,0.514,0.000,0.347,0.226,0.000,0.000,0.104,0.186,0.135
model.000.28.pdb,0.000,0.179,0.037,0.311,0.127,0.227,0.074,0.067,0.017,0.028,0.070,0.022,0.261,0.130,0.051,0.101,0.264,0.026,0.069,0.027,0.060,0.062,0.123,0.000,0.129
model.000.29.pdb,0.151,0.035,0.444,0.000,0.038,0.000,0.250,0.123,0.174,0.571,0.113,0.328,0.000,0.060,0.293,0.095,0.000,0.392,0.094,0.150,0.262,0.109,0.018,0.100,0.033
