 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.11.pdb,0.000,0.090,0.243,0.012,0.190,0.011,0.324,0.012,0.000,0.250,0.012,0.500,0.121,0.024,0.290,0.012,0.000,0.441,0.000,0.025,0.500,0.136,0.000,0.015,0.116
model.000.12.pdb,0.051,0.013,0.613,0.080,0.013,0.079,0.619,0.033,0.000,0.467,0.034,0.507,0.000,0.033,0.644,0.022,0.051,0.453,0.011,0.046,0.600,0.339,0.068,0.013,0.012
model.000.13.pdb,0.203,0.364,0.068,0.141,0.145,0.139,0.032,0.780,0.458,0.079,0.667,0.052,0.117,0.673,0.046,0.635,0.188,0.101,0.720,0.700,0.000,0.000,0.043,0.543,0.339
model.000.14.pdb,0.147,0.012,0.746,0.054,0.000,0.076,0.591,0.043,0.039,0.569,0.033,0.571,0.000,0.021,0.613,0.011,0.000,0.412,0.033,0.056,0.466,0.323,0.038,0.013,0.000
model.000.15.pdb,0.014,0.044,0.304,0.024,0.136,0.000,0.333,0.012,0.000,0.345,0.025,0.470,0.086,0.012,0.318,0.013,0.000,0.509,0.000,0.025,0.541,0.123,0.000,0.000,0.103
model.000.16.pdb,0.194,0.385,0.046,0.103,0.214,0.101,0.011,0.755,0.426,0.039,0.783,0.032,0.143,0.714,0.011,0.745,0.141,0.077,0.694,0.745,0.000,0.000,0.029,0.619,0.462
model.000.17.pdb,0.220,0.014,0.011,0.647,0.000,0.635,0.058,0.167,0.121,0.000,0.143,0.011,0.000,0.171,0.049,0.111,0.578,0.000,0.174,0.143,0.057,0.075,0.447,0.138,0.014
model.000.18.pdb,0.209,0.082,0.032,0.722,0.014,0.621,0.064,0.240,0.138,0.012,0.219,0.029,0.060,0.264,0.067,0.187,0.633,0.011,0.250,0.187,0.052,0.052,0.328,0.136,0.078
model.000.19.pdb,0.023,0.074,0.395,0.031,0.169,0.020,0.403,0.063,0.025,0.382,0.066,0.662,0.068,0.053,0.411,0.054,0.000,0.623,0.021,0.078,0.571,0.187,0.012,0.051,0.083
model.000.20.pdb,0.160,0.011,0.762,0.071,0.011,0.092,0.569,0.071,0.061,0.547,0.074,0.553,0.000,0.030,0.588,0.041,0.022,0.425,0.051,0.085,0.494,0.288,0.059,0.035,0.021
model.000.21.pdb,0.074,0.614,0.034,0.104,0.367,0.117,0.011,0.574,0.269,0.040,0.588,0.032,0.286,0.627,0.012,0.588,0.143,0.078,0.519,0.500,0.000,0.000,0.015,0.457,0.531
model.000.22.pdb,0.237,0.076,0.047,0.635,0.015,0.564,0.070,0.232,0.158,0.013,0.209,0.043,0.068,0.258,0.061,0.191,0.636,0.025,0.242,0.174,0.080,0.058,0.278,0.136,0.087
model.000.23.pdb,0.066,0.044,0.652,0.058,0.046,0.038,0.611,0.090,0.059,0.545,0.105,0.532,0.000,0.081,0.586,0.082,0.011,0.466,0.060,0.117,0.513,0.347,0.022,0.058,0.021
model.000.24.pdb,0.200,0.070,0.000,0.837,0.014,0.625,0.043,0.200,0.127,0.000,0.178,0.000,0.062,0.239,0.045,0.162,0.674,0.000,0.208,0.147,0.042,0.054,0.370,0.108,0.081
model.000.25.pdb,0.141,0.060,0.023,0.635,0.015,0.654,0.045,0.164,0.100,0.013,0.141,0.010,0.068,0.221,0.061,0.125,0.674,0.012,0.171,0.110,0.068,0.058,0.278,0.081,0.071
model.000.26.pdb,0.200,0.382,0.022,0.200,0.143,0.182,0.021,0.667,0.365,0.037,0.654,0.020,0.172,0.725,0.034,0.654,0.262,0.060,0.740,0.593,0.000,0.000,0.072,0.469,0.333
model.000.27.pdb,0.302,0.314,0.036,0.157,0.068,0.139,0.011,0.688,0.476,0.057,0.638,0.000,0.135,0.549,0.012,0.571,0.214,0.000,0.733,0.604,0.000,0.000,0.066,0.465,0.315
model.000.28.pdb,0.000,0.250,0.053,0.072,0.217,0.042,0.052,0.072,0.000,0.047,0.061,0.089,0.444,0.108,0.027,0.111,0.089,0.059,0.060,0.014,0.122,0.000,0.000,0.000,0.185
model.000.29.pdb,0.193,0.404,0.049,0.067,0.216,0.066,0.012,0.702,0.488,0.058,0.727,0.045,0.137,0.625,0.025,0.727,0.098,0.099,0.604,0.689,0.000,0.000,0.032,0.722,0.400
