 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb,model.000.20.pdb,model.000.21.pdb,model.000.22.pdb,model.000.23.pdb,model.000.24.pdb
model.000.10.pdb,0.000,0.164,0.047,0.328,0.117,0.229,0.095,0.090,0.015,0.040,0.080,0.032,0.235,0.153,0.061,0.125,0.263,0.012,0.079,0.038,0.093,0.074,0.113,0.015,0.136
model.000.11.pdb,0.157,0.033,0.766,0.038,0.059,0.069,0.533,0.113,0.113,0.530,0.106,0.558,0.000,0.060,0.549,0.083,0.011,0.472,0.071,0.130,0.463,0.315,0.034,0.084,0.054
model.000.12.pdb,0.206,0.088,0.000,0.692,0.029,0.648,0.022,0.222,0.131,0.000,0.200,0.000,0.100,0.265,0.034,0.183,0.705,0.000,0.232,0.151,0.043,0.027,0.358,0.111,0.099
model.000.13.pdb,0.076,0.037,0.645,0.078,0.068,0.065,0.552,0.078,0.054,0.452,0.081,0.493,0.000,0.067,0.623,0.069,0.024,0.508,0.044,0.094,0.514,0.349,0.066,0.053,0.036
model.000.14.pdb,0.222,0.016,0.012,0.625,0.000,0.549,0.049,0.182,0.157,0.000,0.156,0.011,0.000,0.188,0.053,0.138,0.625,0.000,0.190,0.156,0.061,0.031,0.348,0.154,0.030
model.000.15.pdb,0.000,0.000,0.156,0.169,0.000,0.077,0.206,0.000,0.000,0.088,0.000,0.110,0.022,0.000,0.203,0.000,0.018,0.117,0.000,0.000,0.200,0.239,0.082,0.000,0.000
model.000.16.pdb,0.013,0.027,0.391,0.058,0.074,0.034,0.441,0.000,0.000,0.292,0.000,0.537,0.062,0.000,0.409,0.000,0.000,0.369,0.000,0.000,0.695,0.317,0.027,0.000,0.052
model.000.17.pdb,0.085,0.024,0.683,0.020,0.064,0.030,0.565,0.074,0.038,0.541,0.090,0.548,0.000,0.076,0.635,0.066,0.000,0.523,0.043,0.102,0.486,0.348,0.037,0.037,0.046
model.000.18.pdb,0.089,0.032,0.575,0.068,0.095,0.078,0.560,0.048,0.011,0.451,0.071,0.627,0.023,0.069,0.556,0.060,0.021,0.500,0.029,0.071,0.566,0.289,0.044,0.034,0.064
model.000.19.pdb,0.052,0.053,0.420,0.000,0.119,0.000,0.408,0.022,0.014,0.483,0.023,0.694,0.076,0.022,0.397,0.023,0.000,0.596,0.000,0.035,0.594,0.157,0.000,0.014,0.078
model.000.20.pdb,0.035,0.061,0.493,0.098,0.092,0.085,0.440,0.086,0.038,0.469,0.078,0.527,0.013,0.100,0.431,0.066,0.060,0.547,0.043,0.090,0.410,0.187,0.024,0.064,0.058
model.000.21.pdb,0.172,0.490,0.045,0.115,0.211,0.114,0.022,0.740,0.417,0.039,0.804,0.031,0.204,0.700,0.023,0.844,0.156,0.062,0.714,0.694,0.000,0.000,0.029,0.643,0.481
model.000.22.pdb,0.192,0.024,0.793,0.031,0.013,0.064,0.536,0.076,0.096,0.614,0.067,0.609,0.000,0.032,0.530,0.056,0.000,0.448,0.067,0.092,0.479,0.261,0.037,0.066,0.047
model.000.23.pdb,0.426,0.000,0.091,0.254,0.000,0.333,0.117,0.113,0.154,0.059,0.087,0.058,0.000,0.055,0.095,0.071,0.245,0.000,0.134,0.103,0.060,0.155,0.500,0.089,0.000
model.000.24.pdb,0.207,0.062,0.000,0.608,0.016,0.537,0.035,0.224,0.167,0.000,0.200,0.000,0.071,0.250,0.050,0.182,0.816,0.000,0.234,0.164,0.022,0.061,0.320,0.143,0.075
model.000.25.pdb,0.222,0.442,0.056,0.113,0.203,0.111,0.000,0.816,0.489,0.051,0.771,0.031,0.196,0.673,0.011,0.889,0.152,0.061,0.792,0.735,0.000,0.000,0.043,0.578,0.463
model.000.26.pdb,0.164,0.086,0.011,0.698,0.029,0.569,0.043,0.216,0.127,0.012,0.194,0.010,0.097,0.257,0.034,0.178,0.711,0.011,0.225,0.147,0.053,0.040,0.298,0.108,0.096
model.000.27.pdb,0.032,0.000,0.262,0.116,0.000,0.083,0.474,0.000,0.000,0.148,0.000,0.171,0.000,0.000,0.463,0.000,0.049,0.103,0.000,0.000,0.284,0.711,0.151,0.000,0.000
model.000.28.pdb,0.079,0.000,0.650,0.056,0.056,0.067,0.530,0.033,0.014,0.450,0.034,0.536,0.000,0.022,0.574,0.023,0.013,0.484,0.000,0.047,0.493,0.367,0.040,0.013,0.024
model.000.29.pdb,0.062,0.063,0.451,0.032,0.096,0.031,0.438,0.043,0.013,0.517,0.044,0.667,0.056,0.043,0.449,0.044,0.000,0.524,0.011,0.056,0.507,0.162,0.012,0.039,0.048
